Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
1,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,eng Premier League,25,1990,11,8,714,7.9,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,2016-2017,,,,,,,,,,,,
2,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,eng Premier League,25,1990,21,20,1784,19.8,3,1,4,3,0,0,2,0,0.15,0.05,0.20,0.15,0.20,Matches,2016-2017,,,,,,,,,,,,
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,29,1986,23,22,1924,21.4,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,2016-2017,,,,,,,,,,,,
4,Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,18,15,1314,14.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,13,9,879,9.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,28,27,2374,26.4,3,2,5,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches,2016-2017,,,,,,,,,,,,
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,30,1986,30,30,2584,28.7,1,1,2,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,Matches,2016-2017,,,,,,,,,,,,
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,20,16,1320,14.7,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,2016-2017,,,,,,,,,,,,
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,38,3420,38.0,4,0,4,3,1,1,2,0,0.11,0.00,0.11,0.08,0.08,Matches,2016-2017,,,,,,,,,,,,
10,Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
11,Maxwell Acosty,gh GHA,"MF,FW",Crotone,it Serie A,24,1991,11,3,378,4.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,24,1992,20,13,1077,12.0,2,0,2,2,0,0,5,6,0.17,0.00,0.17,0.17,0.17,Matches,2016-2017,,,,,,,,,,,,
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,30,1985,24,17,1517,16.9,1,3,4,0,1,1,7,0,0.06,0.18,0.24,0.00,0.18,Matches,2016-2017,,,,,,,,,,,,
