Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
1,Kristal Abazaj,al ALB,FW,Anderlecht,22,1996,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.6,,0,1,21,0,0.00,0,0,0,0.00,-0.10
2,Rafidine Abdullah,km COM,MF,Waasland-Bev,24,1994,10,8,642,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,23.8,77,4,2,13,2,0.80,7,8,-1,-0.14,+0.69
3,Elton Acolatse,nl NED,MF,Sint-Truiden,23,1995,21,11,1145,12.7,1,4,5,1,0,0,6,0,0.08,0.31,0.39,0.08,0.39,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,42.4,84,6,10,22,4,1.48,23,17,+6,+0.47,+0.01
4,Joseph Aidoo,gh GHA,DF,Genk,22,1995,33,31,2781,30.9,1,0,1,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,77.3,88,30,2,23,7,2.06,65,31,+34,+1.10,+0.11
5,Nana Akwasi Asare,gh GHA,DF,Gent,32,1986,37,37,3304,36.7,0,1,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,91.8,89,35,0,,1,1.46,57,55,+2,+0.05,-0.25
6,Nabil Alioui,fr FRA,FW,Cercle Brugge,19,1999,2,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4.5,91,1,1,31,1,0.00,2,3,-1,-0.74,+0.55
7,Selim Amallah,ma MAR,"MF,FW",Excel Mouscron,21,1996,19,16,1461,16.2,3,3,6,3,0,0,6,0,0.18,0.18,0.37,0.18,0.37,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,54.1,89,10,3,15,0,1.53,18,19,-1,-0.06,+0.08
8,Opoku Ampomah,gh GHA,"MF,FW",Waasland-Bev,22,1996,22,21,1756,19.5,7,3,10,7,0,0,7,0,0.36,0.15,0.51,0.36,0.51,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,65.0,83,12,1,23,0,0.86,22,29,-7,-0.36,+0.88
9,Sofyan Amrabat,ma MAR,"MF,DF",Club Brugge,21,1996,24,10,1156,12.8,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,32.1,84,7,14,23,6,1.96,20,17,+3,+0.23,-1.13
10,Francis Amuzu,be BEL,"MF,FW",Anderlecht,18,1999,30,19,1662,18.5,1,1,2,1,0,0,3,1,0.05,0.05,0.11,0.05,0.11,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,46.2,80,6,11,13,5,1.33,24,25,-1,-0.05,-0.29
