Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Abner,br BRA,"DF,MF",Atl Paranaense,20,2000,24,23,1948,21.6,0,3,3,0,0,0,3,0,1.0,1.0,2.8,3.8,42,87,146,0.00,0.14,0.14,0.00,0.14,0.04,0.13,0.17,0.04,0.17,Matches,2021,Brazil,14,0,0.0,0.65,0.00,0.00,,19.3,0,0.07,-1.0,-1.0,945,1231,76.8,17270,5528,399,444,89.9,422,531,79.5,106,183,57.9,2.8,+0.2,34,83,30,17,61,2.82,55,3,2,0,0,6,0.28,6,0,0,0,0,0,31,22,15,9,7,13,72.2,5,20,17,18,49,41,0,1424,47,35,1424,9,42.9,12,57.1,765,4,30,17,885,0,27,3,83,0,0,0,106,30,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,3,17,200,0,1,0,81,57.0,83,16,1,33,3,1.50,22,22,0,0.00,+0.24,25.7,23.7,+2.0,+0.09,+0.44
2,Luiz Adriano,br BRA,FW,Palmeiras,33,1987,19,12,936,10.4,3,2,5,3,0,0,0,0,4.2,4.2,1.7,5.9,3,10,42,0.29,0.19,0.48,0.29,0.48,0.41,0.16,0.57,0.41,0.57,Matches,2021,Brazil,26,12,46.2,2.50,1.15,0.12,0.25,13.3,0,0.16,-1.2,-1.2,120,159,75.5,1779,314,60,75,80.0,44,53,83.0,5,8,62.5,1.0,+0.3,11,9,2,0,20,1.92,15,0,0,2,0,4,0.38,4,0,0,0,0,0,3,3,0,3,0,1,16.7,5,4,4,3,6,11,0,228,11,38,228,0,0.0,2,100.0,124,2,5,7,162,0,7,5,2,0,0,0,14,15,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,0,1,0,0,0,49,27.4,66,1,7,21,9,1.58,16,12,+4,+0.38,-0.01,15.7,11.5,+4.3,+0.41,+0.28
3,Adson,br BRA,"FW,MF",Corinthians,20,2000,16,6,555,6.2,3,1,4,3,0,0,0,0,1.2,1.2,0.4,1.7,16,27,54,0.49,0.16,0.65,0.49,0.65,0.20,0.07,0.27,0.20,0.27,Matches,2021,Brazil,9,4,44.4,1.46,0.65,0.33,0.75,17.5,0,0.14,+1.8,+1.8,264,319,82.8,3631,592,168,186,90.3,79,96,82.3,8,16,50.0,0.5,+0.6,6,21,4,0,12,1.94,8,3,1,0,0,3,0.48,3,0,0,0,0,0,14,7,7,5,2,3,37.5,5,6,6,3,17,3,0,391,2,16,391,8,42.1,11,57.9,255,1,15,6,317,0,9,1,25,0,0,0,19,3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,0,0,3,9,0,35,16.2,70,1,10,13,17,1.56,9,7,+2,+0.32,+0.26,4.5,7.5,-3.1,-0.49,-0.69
4,Airton,br BRA,FW,Ceará,21,1999,7,2,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5,3,9,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,2021,Brazil,1,0,0.0,0.58,0.00,0.00,,4.3,0,0.33,-0.3,-0.3,15,25,60.0,205,69,12,16,75.0,2,3,66.7,1,2,50.0,0.0,0.0,0,0,1,0,1,0.58,1,0,0,0,0,0,0.00,0,0,0,0,0,0,4,3,1,2,1,2,40.0,3,1,1,1,5,2,0,49,2,4,49,2,28.6,5,71.4,29,1,6,4,32,0,6,0,0,0,0,0,7,1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,4.5,52,0,5,10,17,0.57,0,2,-2,-1.17,-1.25,1.5,2.8,-1.3,-0.74,-0.72
5,Marcelo Ajul,br BRA,DF,Sport Recife,18,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2021,Brazil,0,0,,0.00,0.00,,,,0,,0.0,0.0,7,8,87.5,95,24,4,5,80.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,0,0,8,0,,0,,5,0,0,0,5,0,1,0,0,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,15,0.4,,0,1,15,7,1.00,0,0,0,0.00,+0.34,0.5,0.8,-0.3,-1.80,-1.53
6,Carlos Alberto,br BRA,"FW,MF",América (MG),18,2002,8,2,211,2.3,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,6,2,15,0.43,0.00,0.43,0.43,0.43,0.40,0.04,0.44,0.40,0.44,Matches,2021,Brazil,4,3,75.0,1.71,1.28,0.25,0.33,13.5,0,0.23,+0.1,+0.1,22,26,84.6,287,17,15,17,88.2,7,8,87.5,0,0,,0.1,-0.1,1,1,0,0,3,1.28,3,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,1,50.0,1,3,3,2,3,0,0,57,0,9,57,4,66.7,2,33.3,38,4,7,6,37,0,5,7,0,0,0,0,7,3,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,26,6.2,68,1,6,13,8,0.63,1,5,-4,-1.71,-1.93,2.3,5.1,-2.8,-1.17,-1.51
7,Yuri Alberto,br BRA,FW,Internacional,19,2001,33,31,2687,29.9,12,3,15,12,0,0,7,0,14.2,14.2,4.7,18.9,47,40,217,0.40,0.10,0.50,0.40,0.50,0.48,0.16,0.63,0.48,0.63,Matches,2021,Brazil,90,43,47.8,3.01,1.44,0.13,0.28,15.2,0,0.16,-2.2,-2.2,466,673,69.2,5741,1096,301,381,79.0,119,163,73.0,9,23,39.1,2.3,-1.7,28,18,10,1,67,2.25,50,0,6,2,0,9,0.30,7,0,1,0,1,0,12,8,2,5,5,4,20.0,16,25,20,7,19,30,0,1024,35,136,1024,18,46.2,21,53.8,545,24,84,29,746,0,61,13,21,1,0,0,74,68,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1,1,0,0,0,0,81,78.6,84,17,2,37,1,1.33,39,33,+6,+0.20,+0.69,41.9,43.9,-2.0,-0.07,+0.17
8,Ale,br BRA,MF,América (MG),30,1990,28,24,2003,22.3,3,1,4,3,0,0,6,0,2.5,2.5,2.8,5.3,41,121,74,0.13,0.04,0.18,0.13,0.18,0.11,0.13,0.24,0.11,0.24,Matches,2021,Brazil,31,9,29.0,1.39,0.40,0.10,0.33,20.4,0,0.08,+0.5,+0.5,994,1164,85.4,16754,4839,466,522,89.3,409,455,89.9,92,119,77.3,2.2,-1.8,33,103,10,2,58,2.61,49,4,1,2,1,2,0.09,2,0,0,0,0,0,48,25,19,25,4,23,52.3,21,19,19,23,71,24,1,1400,49,40,1400,21,72.4,8,27.6,876,2,38,35,948,0,31,1,19,0,0,0,174,33,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2,8,11,0,1,0,72,58.6,81,11,4,14,6,1.54,23,19,+4,+0.18,+0.18,33.2,28.5,+4.7,+0.21,-0.08
9,Alerrandro,br BRA,FW,Bragantino,21,2000,24,7,776,8.6,4,2,6,4,0,0,1,0,2.4,2.4,1.0,3.4,4,10,34,0.46,0.23,0.70,0.46,0.70,0.27,0.12,0.39,0.27,0.39,Matches,2021,Brazil,17,9,52.9,1.97,1.04,0.24,0.44,19.1,1,0.14,+1.6,+1.6,115,150,76.7,1561,256,68,80,85.0,37,47,78.7,4,5,80.0,1.3,+1.0,8,6,3,0,19,2.21,16,0,1,2,0,2,0.23,2,0,0,0,0,0,8,6,1,5,2,4,33.3,8,4,3,4,12,10,0,237,12,23,237,4,40.0,6,60.0,118,4,24,15,172,0,20,7,2,0,0,0,18,12,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,1,0,0,0,0,32,22.7,73,2,17,16,5,1.38,13,10,+3,+0.35,+0.14,9.7,14.5,-4.8,-0.56,-0.68
10,Alesson,br BRA,MF,Bahia,21,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,Matches,2021,Brazil,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,4,50.0,63,43,0,0,,1,1,100.0,1,2,50.0,0.1,-0.1,2,0,0,0,3,15.00,0,2,0,1,0,0,0.00,0,0,0,0,0,0,2,1,1,1,0,0,,0,0,0,0,2,0,0,7,0,0,7,0,,0,,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,1,0,0,18,0.5,,0,1,18,1,1.00,1,0,+1,+5.00,+5.26,0.2,0.2,0.0,-0.18,-0.16
11,Alison,br BRA,"MF,DF",Santos,27,1993,6,5,424,4.7,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,6,32,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,2021,Brazil,2,0,0.0,0.42,0.00,0.00,,11.3,0,0.03,-0.1,-0.1,375,403,93.1,6522,1877,160,169,94.7,175,183,95.6,34,41,82.9,0.1,-0.1,2,29,0,0,6,1.27,6,0,0,0,0,0,0.00,0,0,0,0,0,0,7,5,4,3,0,3,33.3,6,4,4,13,20,4,0,446,18,2,446,5,83.3,1,16.7,294,0,4,3,352,0,7,0,0,0,1,0,35,8,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,2,1,0,0,0,71,12.4,76,4,1,45,2,0.83,5,7,-2,-0.42,-0.33,6.1,4.9,+1.2,+0.26,+0.48
12,Alisson,br BRA,"FW,MF",Grêmio,27,1993,29,22,1875,20.8,3,1,4,3,0,0,1,0,4.2,4.2,2.9,7.1,75,79,187,0.14,0.05,0.19,0.14,0.19,0.20,0.14,0.34,0.20,0.34,Matches,2021,Brazil,56,19,33.9,2.69,0.91,0.05,0.16,20.5,0,0.07,-1.2,-1.2,740,946,78.2,11044,2859,439,499,88.0,217,282,77.0,53,96,55.2,3.1,-1.9,34,58,20,8,81,3.89,57,15,2,4,0,8,0.38,4,0,0,2,2,0,19,11,6,9,4,8,22.2,28,15,12,14,33,12,0,1160,14,67,1160,18,45.0,22,55.0,770,22,25,36,881,0,24,4,96,2,0,0,97,23,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,1,9,17,10,18,0,65,54.8,79,6,7,18,3,1.17,21,22,-1,-0.05,+0.30,25.6,22.3,+3.2,+0.16,-0.08
