Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
1,Almen Abdi,ch SUI,MF,Sheffield Weds,30,1986,4,1,160,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,4,0,0.0,2.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0,,,,,,,,,,,,,,,,,0,2,0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3.9,,0,3,,7,1.00,2,2,0,0.00,+0.02
2,Che Adams,sct SCO,"FW,MF",Birmingham City,21,1996,30,16,1541,17.1,5,2,7,5,0,0,1,1,0.29,0.12,0.41,0.29,0.41,Matches,2017-2018,England2,47,20,42.6,2.74,1.17,0.11,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,5,,,,,,,,,,,,,,,,,0,28,15,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,37.2,,6,14,,1,1.10,14,23,-9,-0.53,+0.20
3,Tom Adeyemi,eng ENG,MF,Ipswich Town,25,1991,5,4,361,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,5,1,20.0,1.25,0.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2,,,,,,,,,,,,,,,,,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,8.7,,3,1,,0,1.20,10,6,+4,+1.00,+1.16
4,Albert Adomah,gh GHA,MF,Aston Villa,29,1987,39,34,2846,31.6,14,5,19,11,3,3,1,0,0.44,0.16,0.60,0.35,0.51,Matches,2017-2018,England2,57,27,47.4,1.80,0.85,0.19,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,32,,,,,,,,,,,,,,,,,0,30,24,192,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,68.7,,12,5,,2,1.83,46,25,+21,+0.66,+0.04
5,Benik Afobe,cd COD,FW,Wolves,24,1993,16,7,698,7.8,6,0,6,6,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches,2017-2018,England2,28,10,35.7,3.61,1.29,0.21,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,6,,,,,,,,,,,,,,,,,0,6,10,5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,16.9,,0,9,,1,2.13,17,4,+13,+1.68,+0.89
6,Gabby Agbonlahor,eng ENG,MF,Aston Villa,30,1986,6,2,288,3.2,1,1,2,1,0,0,0,0,0.31,0.31,0.62,0.31,0.62,Matches,2017-2018,England2,3,2,66.7,0.94,0.62,0.33,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,0,,,,,,,,,,,,,,,,,0,10,1,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,7.0,,2,4,,1,0.50,2,7,-5,-1.56,-2.38
7,Ola Aina,ng NGA,"DF,MF",Hull City,20,1996,44,42,3824,42.5,0,3,3,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,2017-2018,England2,34,7,20.6,0.80,0.16,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,88,,,,,,,,,,,,,,,,,0,45,2,98,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,92.4,,41,2,,2,1.09,60,62,-2,-0.05,-0.62
8,Joost van Aken,nl NED,DF,Sheffield Weds,23,1994,14,14,1228,13.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,,4,,,0.29,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,29.7,,13,0,,0,,,,,,
9,Lucas Akins,gd GRN,"MF,FW",Burton Albion,28,1989,42,39,3508,39.0,5,6,11,3,2,3,5,0,0.13,0.15,0.28,0.08,0.23,Matches,2017-2018,England2,48,18,37.5,1.23,0.46,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,37,,,,,,,,,,,,,,,,,0,58,7,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84.7,,35,3,,0,0.95,35,68,-33,-0.85,+0.58
10,Hope Akpan,ng NGA,MF,Burton Albion,25,1991,26,19,1760,19.6,2,1,3,2,0,0,1,1,0.10,0.05,0.15,0.10,0.15,Matches,2017-2018,England2,29,9,31.0,1.48,0.46,0.07,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,12,,,,,,,,,,,,,,,,,0,25,0,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,42.5,,13,7,,9,0.77,18,35,-17,-0.87,+0.11
11,Ezgjan Alioski,mk MKD,"MF,FW",Leeds United,25,1992,42,40,3127,34.7,7,5,12,7,0,0,6,0,0.20,0.14,0.35,0.20,0.35,Matches,2017-2018,England2,88,27,30.7,2.53,0.78,0.08,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,25,,,,,,,,,,,,,,,,,0,49,23,143,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,75.5,,14,2,,3,1.33,47,47,0,0.00,+0.44
12,Jamie Allen,eng ENG,MF,Burton Albion,22,1995,29,19,1723,19.1,1,0,1,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,Matches,2017-2018,England2,20,6,30.0,1.04,0.31,0.05,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,12,,,,,,,,,,,,,,,,,0,14,1,61,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,41.6,,11,10,,10,0.79,12,40,-28,-1.46,-0.90
13,Ben Alnwick,eng ENG,GK,Bolton,30,1987,39,39,3465,38.5,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,2017-2018,England2,1,0,0.0,0.03,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,59,1.53,184,125,70.1,9,11,18,8,20.5,4,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,89,83.7,,38,0,,5,1.05,32,59,-27,-0.70,+0.37
14,Sone Aluko,ng NGA,"MF,FW",Reading,28,1989,39,36,3032,33.7,2,4,6,2,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches,2017-2018,England2,59,22,37.3,1.75,0.65,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,22,,,,,,,,,,,,,,,,,0,35,5,148,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,73.2,,20,3,,1,0.95,36,55,-19,-0.56,-0.32
15,Sone Aluko,ng NGA,FW,Fulham,28,1989,4,4,331,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,59,22,37.3,1.75,0.65,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,22,,,,,,,,,,,,,,,,,0,35,5,148,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,73.2,,20,3,,1,0.95,36,55,-19,-0.56,-0.32
16,Sammy Ameobi,eng ENG,"MF,FW",Bolton,25,1992,35,33,2901,32.2,4,2,6,4,0,0,8,0,0.12,0.06,0.19,0.12,0.19,Matches,2017-2018,England2,71,19,26.8,2.20,0.59,0.06,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,36,,,,,,,,,,,,,,,,,0,60,2,108,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,70.1,,23,2,,0,1.06,32,47,-15,-0.47,+0.99
17,Vurnon Anita,cw CUW,DF,Leeds United,28,1989,18,14,1290,14.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,2,1,50.0,0.14,0.07,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,22,,,,,,,,,,,,,,,,,0,20,0,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,31.2,,10,4,,22,1.56,17,18,-1,-0.07,+0.06
18,Ikechi Anya,sct SCO,MF,Derby County,29,1988,7,3,304,3.4,0,1,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,2017-2018,England2,3,0,0.0,0.89,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,0,2,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,7.3,,1,4,,3,1.00,3,2,+1,+0.30,-0.20
19,Jordan Archer,sct SCO,GK,Millwall,24,1993,45,45,4050,45.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,England2,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,45,1.00,176,131,75.6,19,14,12,18,40.0,2,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,90,97.8,,45,0,,0,1.58,56,45,+11,+0.24,+0.24
