Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Max Aarons,eng ENG,DF,Norwich City,20,2000,45,45,4046,45.0,2,2,4,2,0,0,5,0,2.4,2.4,5.4,7.8,147,155,288,0.04,0.04,0.09,0.04,0.09,0.05,0.12,0.17,0.05,0.17,Matches,2020-2021,England2,28,8,28.6,0.62,0.18,0.07,0.25,17.5,0,0.08,-0.4,-0.4,2146,2638,81.3,34006,9045,1194,1304,91.6,739,882,83.8,164,310,52.9,6.3,-3.4,61,99,68,27,126,2.80,101,1,14,8,0,14,0.31,12,0,0,0,2,0,31,18,23,6,2,19,57.6,14,23,14,39,70,101,0,3053,126,121,3053,61,57.0,46,43.0,1783,50,66,27,1979,0,21,4,132,2,0,0,232,37,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,2,29,400,0,0,0,90,97.7,90,42,0,,0,2.13,74,35,+39,+0.87,+0.87,74.5,50.9,+23.6,+0.53,-0.77
2,Rolando Aarons,eng ENG,"FW,DF",Huddersfield,24,1995,10,5,496,5.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,13,13,60,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches,2020-2021,England2,4,1,25.0,0.73,0.18,0.00,0.00,13.4,0,0.07,-0.3,-0.3,110,168,65.5,1564,384,68,92,73.9,35,51,68.6,4,11,36.4,0.4,-0.3,5,8,3,1,10,1.81,9,0,1,0,0,1,0.18,1,0,0,0,0,0,18,9,10,4,4,8,66.7,4,5,4,6,24,3,0,251,5,28,251,7,38.9,11,61.1,163,8,24,9,171,0,8,1,16,0,0,0,27,4,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,2,0,0,0,50,12.0,65,0,5,34,2,0.40,7,9,-2,-0.36,+0.11,5.8,9.1,-3.3,-0.60,-0.13
3,Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,18,15,1294,14.4,5,1,6,4,1,1,0,0,5.9,5.2,1.5,6.6,27,18,108,0.35,0.07,0.42,0.28,0.35,0.41,0.10,0.51,0.36,0.46,Matches,2020-2021,England2,36,14,38.9,2.50,0.97,0.11,0.29,12.6,0,0.14,-0.9,-1.2,155,289,53.6,1864,399,107,177,60.5,39,66,59.1,1,7,14.3,1.9,-0.5,10,10,4,2,23,1.60,13,0,1,6,1,3,0.21,1,0,0,0,1,1,8,3,3,5,0,2,50.0,2,8,7,5,13,16,0,489,16,82,488,14,40.0,21,60.0,263,15,57,11,360,0,34,12,14,1,0,0,42,84,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,72,31.3,83,6,3,19,2,1.39,15,15,0,0.00,+0.35,16.2,18.6,-2.4,-0.17,-0.11
4,Victor Adeboyejo,eng ENG,"FW,MF",Barnsley,22,1998,32,9,1213,13.5,2,0,2,2,0,0,0,0,1.9,1.9,0.2,2.1,26,20,94,0.15,0.00,0.15,0.15,0.15,0.14,0.01,0.15,0.14,0.15,Matches,2020-2021,England2,21,6,28.6,1.56,0.45,0.10,0.33,17.0,1,0.09,+0.1,+0.1,176,286,61.5,1881,533,114,155,73.5,31,64,48.4,5,16,31.3,0.4,-0.2,6,15,4,0,19,1.41,14,0,0,1,0,6,0.44,5,0,0,1,0,0,13,8,5,3,5,8,44.4,10,27,27,10,23,7,0,513,13,50,513,16,44.4,20,55.6,259,13,65,44,331,0,28,4,12,0,0,1,69,30,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,1,0,0,0,38,29.3,68,2,23,26,9,1.68,16,15,+1,+0.07,-0.14,16.0,13.1,+2.9,+0.21,-0.02
5,Hakeeb Adelakun,eng ENG,MF,Bristol City,24,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021,England2,0,0,,0.00,0.00,,,,0,,0.0,0.0,35,45,77.8,491,82,22,25,88.0,6,9,66.7,4,6,66.7,0.2,0.0,0,0,1,1,1,0.64,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,2,2,3,0,59,3,2,59,3,42.9,4,57.1,36,2,2,0,43,0,1,0,3,0,0,0,3,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,70,3.4,70,0,0,,0,1.50,2,1,+1,+0.64,+1.16,0.5,1.3,-0.8,-0.52,+0.17
6,Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,21,18,1478,16.4,0,1,1,0,0,0,2,0,0.5,0.5,0.3,0.8,17,47,12,0.00,0.06,0.06,0.00,0.06,0.03,0.02,0.05,0.03,0.05,Matches,2020-2021,England2,11,2,18.2,0.67,0.12,0.00,0.00,23.5,0,0.05,-0.5,-0.5,271,387,70.0,4353,1617,127,168,75.6,105,137,76.6,24,43,55.8,0.2,+0.7,5,32,5,0,18,1.10,10,0,3,4,0,0,0.00,0,0,0,0,0,0,24,14,6,13,5,4,28.6,10,15,9,32,56,18,0,540,33,8,540,21,77.8,6,22.2,250,3,17,11,199,0,22,0,2,0,0,0,115,20,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,1,0,0,0,70,35.7,76,9,3,35,7,1.19,18,29,-11,-0.67,-0.03,16.7,29.5,-12.8,-0.78,-0.30
7,Albert Adomah,gh GHA,"FW,MF",QPR,32,1987,34,7,864,9.6,2,5,7,2,0,0,1,0,2.9,2.9,4.0,6.9,52,32,96,0.21,0.52,0.73,0.21,0.73,0.30,0.42,0.72,0.30,0.72,Matches,2020-2021,England2,14,5,35.7,1.46,0.52,0.14,0.40,15.9,1,0.21,-0.9,-0.9,297,429,69.2,4478,1293,171,206,83.0,103,142,72.5,16,47,34.0,2.6,+1.0,22,14,13,7,31,3.23,24,2,2,1,0,8,0.83,7,0,1,0,0,0,25,14,10,10,5,16,51.6,15,18,18,14,39,12,1,586,17,41,586,20,60.6,13,39.4,342,12,34,19,381,0,14,3,60,0,0,0,61,7,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,1,26,0,0,0,25,20.9,59,0,27,17,8,1.47,15,9,+6,+0.62,+0.73,15.9,12.5,+3.4,+0.35,+0.49
8,Joost van Aken,nl NED,DF,Sheffield Weds,26,1994,17,16,1273,14.1,0,0,0,0,0,0,2,1,0.4,0.4,0.1,0.5,10,51,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2020-2021,England2,8,1,12.5,0.57,0.07,0.00,0.00,16.3,0,0.05,-0.4,-0.4,428,591,72.4,8291,3264,155,185,83.8,220,269,81.8,45,114,39.5,0.1,-0.1,1,30,3,0,4,0.28,2,1,0,0,0,0,0.00,0,0,0,0,0,0,19,14,12,7,0,8,66.7,4,13,8,20,39,43,0,717,63,14,717,3,100.0,0,0.0,356,0,9,0,356,0,14,0,0,0,0,0,46,35,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0,7,63,0,0,0,75,30.7,79,9,1,8,2,0.94,10,13,-3,-0.21,+0.35,10.1,17.7,-7.6,-0.54,-0.42
9,Adebayo Akinfenwa,eng ENG,FW,Wycombe,38,1982,33,11,1296,14.4,1,1,2,0,1,1,0,0,4.4,3.6,2.7,6.3,2,35,65,0.07,0.07,0.14,0.00,0.07,0.31,0.18,0.49,0.25,0.44,Matches,2020-2021,England2,39,11,28.2,2.71,0.76,0.00,0.00,11.1,0,0.09,-3.4,-3.6,147,378,38.9,1830,643,88,197,44.7,43,123,35.0,2,12,16.7,1.4,-1.7,22,22,11,0,34,2.36,29,0,1,2,0,2,0.14,2,0,0,0,0,0,4,3,1,1,2,0,0.0,1,2,2,0,4,10,0,527,14,84,526,2,40.0,3,60.0,209,2,36,23,449,0,43,8,1,0,0,0,14,217,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,39,31.3,83,5,22,17,2,0.82,14,20,-6,-0.42,+0.34,18.8,21.0,-2.2,-0.15,+0.63
10,Chuba Akpom,eng ENG,FW,Middlesbrough,24,1995,38,20,1923,21.4,5,2,7,5,0,0,2,0,6.8,6.8,1.5,8.3,19,16,93,0.23,0.09,0.33,0.23,0.33,0.32,0.07,0.39,0.32,0.39,Matches,2020-2021,England2,40,10,25.0,1.87,0.47,0.13,0.50,12.1,0,0.17,-1.8,-1.8,131,265,49.4,1896,435,74,133,55.6,32,71,45.1,11,16,68.8,0.4,+0.5,9,15,3,0,30,1.40,11,0,2,10,0,5,0.23,2,0,0,3,0,0,9,3,0,8,1,1,33.3,2,6,5,1,10,13,0,460,14,67,460,12,60.0,8,40.0,238,8,58,18,338,0,21,12,6,0,0,0,44,91,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,2,0,0,0,0,51,46.4,74,4,18,25,4,1.39,29,21,+8,+0.37,+0.62,29.1,22.5,+6.6,+0.31,+0.13
