Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Issah Abbas,gh GHA,FW,Utrecht,20,1998,15,10,836,9.3,2,0,2,2,0,0,4,0,3.1,3.1,0.5,3.5,21,6,60,0.22,0.00,0.22,0.22,0.22,0.33,0.05,0.38,0.33,0.38,Matches,2019-2020,Netherlands,20,6,30.0,2.15,0.65,0.10,0.33,16.4,0,0.15,-1.1,-1.1,98,151,64.9,1369,310,49,69,71.0,36,48,75.0,3,12,25.0,0.8,-0.5,5,3,5,2,18,1.94,12,0,1,2,0,3,0.32,0,0,1,1,1,0,15,11,7,4,4,7,63.6,4,3,3,4,19,1,0,258,1,58,258,7,41.2,10,58.8,171,14,33,17,178,0,17,13,6,1,0,0,24,3,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,1,0,0,0,56,37.2,73,2,5,22,8,1.47,20,12,+8,+0.86,+0.35,16.4,11.8,+4.6,+0.49,+0.06
2,Dirk Abels,nl NED,DF,Sparta R'dam,22,1997,25,19,1847,20.5,0,2,2,0,0,0,1,0,0.4,0.4,1.7,2.0,14,70,67,0.00,0.10,0.10,0.00,0.10,0.02,0.08,0.10,0.02,0.10,Matches,2019-2020,Netherlands,9,2,22.2,0.44,0.10,0.00,0.00,20.4,0,0.04,-0.4,-0.4,660,945,69.8,11728,5430,266,326,81.6,322,451,71.4,55,127,43.3,2.0,+0.3,19,69,18,7,38,1.85,32,2,1,2,0,5,0.24,5,0,0,0,0,0,23,13,17,6,0,12,36.4,21,16,11,34,57,73,0,1133,87,23,1133,2,40.0,3,60.0,418,3,9,0,536,0,16,1,35,0,1,0,92,23,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,1,3,202,1,0,0,74,78.9,89,17,6,26,1,1.32,32,37,-5,-0.24,-0.43,31.4,37.7,-6.2,-0.30,-0.15
3,Abdallah Aberkane,nl NED,DF,Sparta R'dam,19,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020,Netherlands,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,3,100.0,39,20,2,2,100.0,1,1,100.0,0,0,,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,0,0,4,0,,0,,2,0,1,0,2,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,4,0.2,,0,1,3,7,3.00,0,0,0,0.00,+0.15,0.0,0.0,0.0,0.00,+0.27
4,Nassim El Ablak,nl NED,MF,Fortuna Sittard,19,2000,3,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,4,4,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23,Matches,2019-2020,Netherlands,2,0,0.0,3.05,0.00,0.00,,18.1,0,0.05,-0.1,-0.1,12,18,66.7,257,143,2,3,66.7,7,7,100.0,2,5,40.0,0.1,-0.1,1,1,1,0,1,1.53,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,2,2,2,0,0,30,0,1,30,0,0.0,2,100.0,20,0,0,1,20,0,3,0,2,0,0,0,3,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,20,2.5,,0,3,19,22,1.67,0,0,0,0.00,+0.91,0.5,1.4,-1.0,-1.52,-0.72
5,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,19,2000,12,0,200,2.2,0,0,0,0,0,0,0,0,1.5,1.5,0.0,1.5,10,2,37,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.66,0.66,0.66,Matches,2019-2020,Netherlands,11,2,18.2,4.95,0.90,0.00,0.00,15.3,0,0.13,-1.5,-1.5,52,73,71.2,679,84,33,37,89.2,16,23,69.6,1,6,16.7,0.1,0.0,0,1,0,0,3,1.35,0,0,1,1,0,0,0.00,0,0,0,0,0,0,4,3,0,2,2,0,0.0,3,1,1,1,5,2,0,112,2,16,112,1,14.3,6,85.7,70,4,8,6,93,0,5,2,3,0,1,0,7,2,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,4,0,0,0,17,8.9,,0,12,16,10,1.75,3,4,-1,-0.45,-2.12,4.6,3.5,+1.2,+0.54,-0.75
6,Zakaria Aboukhlal,ma MAR,FW,PSV Eindhoven,19,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020,Netherlands,11,2,18.2,4.95,0.90,0.00,0.00,15.3,0,0.13,-1.5,-1.5,52,73,71.2,679,84,33,37,89.2,16,23,69.6,1,6,16.7,0.1,0.0,0,1,0,0,3,1.35,0,0,1,1,0,0,0.00,0,0,0,0,0,0,4,3,0,2,2,0,0.0,3,1,1,1,5,2,0,112,2,16,112,1,14.3,6,85.7,70,4,8,6,93,0,5,2,3,0,1,0,7,2,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,4,0,0,0,17,8.9,,0,12,16,10,1.75,3,4,-1,-0.45,-2.12,4.6,3.5,+1.2,+0.54,-0.75
7,Amir Absalem,nl NED,DF,Groningen,22,1997,5,4,352,3.9,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.4,6,24,19,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,2019-2020,Netherlands,4,0,0.0,1.02,0.00,0.00,,22.8,0,0.03,-0.1,-0.1,174,238,73.1,3448,1162,57,67,85.1,97,118,82.2,19,44,43.2,0.4,-0.2,3,19,3,0,6,1.53,5,0,1,0,0,0,0.00,0,0,0,0,0,0,7,3,2,5,0,4,44.4,5,1,1,7,14,10,0,281,11,3,281,1,33.3,2,66.7,147,0,2,1,154,0,8,0,5,0,0,0,32,5,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,5,28,0,0,0,70,15.0,86,3,1,7,13,0.80,3,5,-2,-0.51,-0.65,4.4,4.2,+0.2,+0.06,+0.01
8,Giorgi Aburjania,ge GEO,MF,Twente,24,1995,17,5,654,7.3,2,0,2,2,0,0,2,0,0.8,0.8,0.7,1.6,15,40,13,0.28,0.00,0.28,0.28,0.28,0.11,0.10,0.22,0.11,0.22,Matches,2019-2020,Netherlands,6,2,33.3,0.83,0.28,0.33,1.00,22.3,1,0.14,+1.2,+1.2,311,373,83.4,4852,1576,160,181,88.4,116,128,90.6,20,41,48.8,0.3,-0.7,5,32,4,1,17,2.34,12,0,2,2,0,3,0.41,2,0,0,1,0,0,30,12,17,10,3,15,46.9,17,10,6,6,36,2,0,458,17,3,458,5,50.0,5,50.0,256,0,13,14,311,0,12,0,8,0,0,0,48,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,5,1,1,0,0,38,27.9,89,4,12,18,9,1.35,11,13,-2,-0.28,+0.26,11.8,11.4,+0.4,+0.06,+0.56
9,Ragnar Ache,de GER,FW,Sparta R'dam,21,1998,19,18,1471,16.3,5,3,8,5,0,0,0,0,6.0,6.0,1.8,7.8,26,40,106,0.31,0.18,0.49,0.31,0.49,0.37,0.11,0.48,0.37,0.48,Matches,2019-2020,Netherlands,27,8,29.6,1.65,0.49,0.19,0.63,12.6,0,0.22,-1.0,-1.0,200,316,63.3,2683,663,128,181,70.7,54,87,62.1,8,14,57.1,1.2,+1.2,15,20,17,2,30,1.84,24,0,1,3,1,5,0.31,5,0,0,0,0,0,13,7,1,9,3,4,40.0,6,9,8,3,16,20,0,525,21,50,525,5,25.0,15,75.0,254,10,61,28,379,0,24,14,8,0,1,0,40,102,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,2,0,0,0,77,62.9,79,8,1,45,1,1.37,26,21,+5,+0.31,+1.24,23.3,26.8,-3.5,-0.22,+0.15
10,Luka Adžić,rs SRB,FW,Emmen,20,1998,3,1,160,1.8,1,0,1,1,0,0,0,0,0.9,0.9,0.5,1.5,12,4,17,0.56,0.00,0.56,0.56,0.56,0.53,0.29,0.83,0.53,0.83,Matches,2019-2020,Netherlands,8,2,25.0,4.50,1.13,0.13,0.50,15.8,0,0.12,+0.1,+0.1,38,56,67.9,537,83,25,29,86.2,11,19,57.9,2,5,40.0,0.2,-0.5,2,1,1,0,9,5.06,4,0,3,0,0,4,2.25,1,0,1,2,0,0,4,3,1,3,0,2,40.0,3,0,0,1,5,1,0,84,1,9,84,5,45.5,6,54.5,51,5,4,1,62,0,2,1,3,0,0,0,10,4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,0,0,53,6.8,47,0,2,57,1,2.00,6,5,+1,+0.56,+1.14,2.9,2.3,+0.6,+0.33,+1.05
