Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,10,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,2021-2022,Spain,2,0,0.0,0.32,0.00,0.00,,9.0,0,0.14,-0.3,-0.3,191,226,84.5,3666,1177,56,67,83.6,113,119,95.0,18,28,64.3,0.0,0.0,0,8,0,0,3,0.48,1,0,0,0,0,1,0.16,0,0,0,1,0,0,6,3,3,3,0,2,50.0,2,6,1,5,11,37,1,286,45,4,286,0,,0,,149,0,0,0,180,0,5,0,0,0,0,1,14,7,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,2,0,0,0,70,16.4,80,4,2,39,12,1.38,8,5,+3,+0.48,+1.11,5.2,7.2,-1.9,-0.31,+0.33
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,1.2,1.2,2.9,4.1,73,131,153,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16,Matches,2021-2022,Spain,16,5,31.3,0.64,0.20,0.06,0.20,21.7,1,0.08,-0.2,-0.2,1543,1963,78.6,29328,10206,662,722,91.7,640,767,83.4,219,392,55.9,4.1,+0.1,43,115,43,27,75,2.99,48,19,2,3,0,3,0.12,1,2,0,0,0,0,50,29,27,14,9,30,65.2,16,22,17,14,64,25,1,2184,54,19,2184,44,66.7,22,33.3,1256,2,38,27,1467,0,38,0,178,0,1,0,173,22,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,3,30,230,0,31,0,73,66.1,83,17,5,22,1,1.87,32,13,+19,+0.76,+0.45,29.6,19.2,+10.4,+0.41,+0.80
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,24,17,1616,18.0,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15,57,40,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05,Matches,2021-2022,Spain,4,0,0.0,0.22,0.00,0.00,,19.1,0,0.04,-0.2,-0.2,547,792,69.1,9008,4537,279,349,79.9,216,294,73.5,44,110,40.0,0.7,+0.3,14,51,20,12,32,1.78,25,3,2,2,0,3,0.17,2,0,1,0,0,0,34,22,17,11,6,18,48.6,19,20,17,25,59,38,0,966,43,12,966,14,73.7,5,26.3,429,1,22,8,465,0,24,1,45,0,1,0,79,31,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,0,5,172,0,0,0,67,47.3,83,11,7,28,13,0.96,13,31,-18,-1.00,-0.20,16.7,26.7,-10.1,-0.56,-0.08
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Spain,0,0,,0.00,0.00,,,,0,,0.0,0.0,62,82,75.6,1721,1232,11,11,100.0,34,34,100.0,17,37,45.9,0.0,0.0,0,1,0,0,1,0.25,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,92,73,0,92,0,,0,,41,0,0,0,23,0,0,0,0,0,0,0,6,0,,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,,0,5.0,0.27,0.0,0.00,12,33.9,33.1,46.2,36.0,48,1,2.1,6,1.50,17.5,33,0,0,0,0,0,0,90,10.5,90,4,0,,10,1.25,5,5,0,0.00,-0.21,4.2,5.3,-1.1,-0.27,-0.63
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,4,3,13,0.60,0.00,0.60,0.60,0.60,0.61,0.07,0.68,0.61,0.68,Matches,2021-2022,Spain,6,1,16.7,3.58,0.60,0.17,1.00,12.0,0,0.17,0.0,0.0,30,42,71.4,396,45,14,20,70.0,12,15,80.0,0,0,,0.2,-0.1,1,3,0,0,3,1.78,3,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,2,0,0,0,1,0,0,57,0,15,57,1,50.0,1,50.0,34,2,4,1,53,0,1,1,3,0,0,0,3,3,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,38,4.4,65,1,2,11,0,1.00,1,2,-1,-0.60,-1.45,3.4,1.7,+1.7,+1.01,+0.26
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Spain,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,3,100.0,35,0,3,3,100.0,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,0,0,4,0,,0,,1,0,1,0,2,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,9,0.3,,0,1,9,0,0.00,0,0,0,0.00,+0.29,0.0,0.1,0.0,-0.43,-0.29
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,25,110,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,2021-2022,Spain,6,1,16.7,0.20,0.03,0.00,0.00,13.3,0,0.04,-0.3,-0.3,1270,1567,81.0,26020,8332,359,420,85.5,740,830,89.2,159,278,57.2,0.5,-0.3,6,101,5,1,16,0.55,15,0,0,0,0,2,0.07,2,0,0,0,0,0,39,26,28,10,1,17,54.8,14,23,10,38,77,96,3,1828,196,12,1828,9,81.8,2,18.2,1111,1,14,6,1163,0,10,1,3,0,0,1,164,62,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,11,19,0,0,0,82,77.1,87,24,2,7,3,1.22,35,31,+4,+0.14,+0.60,34.1,33.1,+1.0,+0.03,+0.44
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35,51,52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,2021-2022,Spain,10,1,10.0,0.49,0.05,0.00,0.00,19.8,0,0.05,-0.5,-0.5,611,832,73.4,10222,3920,291,341,85.3,246,322,76.4,52,109,47.7,1.1,-0.3,7,38,14,11,26,1.27,17,4,1,3,0,1,0.05,1,0,0,0,0,0,43,31,26,15,2,21,56.8,16,26,19,51,94,61,0,1084,88,9,1084,12,57.1,9,42.9,446,4,27,9,465,0,23,2,45,0,1,0,112,37,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,3,140,0,0,0,74,53.9,84,14,4,21,5,1.08,15,27,-12,-0.59,-0.36,21.0,25.1,-4.1,-0.20,+0.07
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0.00,0.00,0.00,0.00,0.00,0.11,0.43,0.54,0.11,0.54,Matches,2021-2022,Spain,4,2,50.0,2.90,1.45,0.00,0.00,19.0,0,0.04,-0.1,-0.1,45,55,81.8,581,186,29,32,90.6,13,15,86.7,1,2,50.0,0.8,-0.6,4,4,7,2,9,6.53,5,0,1,2,0,0,0.00,0,0,0,0,0,0,2,0,0,1,1,0,,0,0,0,0,2,0,0,71,0,6,71,1,33.3,2,66.7,54,5,1,1,57,0,3,0,6,0,0,0,11,1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,62,3.6,62,0,0,,3,3.00,1,0,+1,+0.73,-0.07,1.8,0.3,+1.4,+1.04,+0.29
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,3,30,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,2021-2022,Spain,2,0,0.0,0.35,0.00,0.00,,22.8,0,0.02,0.0,0.0,284,325,87.4,4724,1363,142,156,91.0,121,136,89.0,17,24,70.8,0.3,-0.1,3,32,2,1,7,1.22,7,0,0,0,0,0,0.00,0,0,0,0,0,0,14,9,5,7,2,8,66.7,4,6,6,11,25,6,0,376,12,3,376,6,75.0,2,25.0,195,0,2,5,267,0,13,0,1,0,0,0,42,6,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,0,0,0,0,65,15.1,82,2,2,11,19,1.38,7,3,+4,+0.70,+0.14,5.8,4.6,+1.3,+0.22,-0.06
