Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,1.2,1.2,0.8,2.0,23,119,14,0.06,0.00,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,Matches,2021-2022,France,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0.07,+0.8,+0.8,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0.6,-0.8,9,95,7,0,22,0.66,17,0,2,0,2,1,0.03,1,0,0,0,0,0,48,27,34,14,0,16,50.0,16,50,25,68,116,104,0,1919,212,24,1919,14,77.8,4,22.2,1194,0,28,13,1202,0,39,0,4,0,1,0,195,62,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0,32,9,0,0,0,88,87.2,88,33,0,,0,1.12,38,41,-3,-0.09,-0.50,31.8,41.3,-9.5,-0.29,-0.46
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.7,0.7,0.9,1.6,24,108,47,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,Matches,2021-2022,France,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0.04,+0.3,+0.3,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0.8,-0.9,17,87,13,1,50,1.83,41,0,0,4,1,3,0.11,3,0,0,0,0,0,43,23,25,16,2,20,35.1,37,18,17,42,85,15,0,1948,39,16,1948,26,63.4,15,36.6,1386,3,42,30,1481,2,43,0,14,0,0,0,186,17,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,3,4,0,0,0,79,72.0,82,19,2,38,1,1.10,26,44,-18,-0.66,+0.56,28.9,36.2,-7.3,-0.27,-0.20
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,1.5,1.5,3.7,5.1,30,171,73,0.00,0.06,0.06,0.00,0.06,0.04,0.11,0.16,0.04,0.16,Matches,2021-2022,France,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0.05,-1.5,-1.5,1342,1660,80.8,23767,6837,606,679,89.2,535,620,86.3,152,236,64.4,2.6,-1.7,35,147,23,9,83,2.53,67,2,3,7,3,9,0.27,8,0,0,0,1,0,110,60,44,53,13,71,42.8,95,58,57,55,165,13,0,2032,24,13,2032,39,63.9,22,36.1,1311,3,52,40,1410,0,41,1,37,0,0,0,264,11,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,21,8,0,1,0,87,86.4,87,26,0,,0,0.82,27,59,-32,-0.97,-1.75,35.5,45.7,-10.2,-0.31,-0.50
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,France,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0.0,0.0,0,0,0,0,1,2.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,2,0,0,0,0,12,0,1,12,0,,0,,7,0,3,0,9,0,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,45,1.3,45,0,0,,0,1.00,0,0,0,0.00,+0.93,0.5,0.3,+0.2,+0.40,+0.94
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,6,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches,2021-2022,France,2,0,0.0,1.75,0.00,0.00,,9.5,0,0.14,-0.3,-0.3,7,9,77.8,72,15,5,7,71.4,1,1,100.0,0,0,,0.0,0.0,0,0,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,0,0,1,0,20,1,3,20,3,50.0,3,50.0,11,0,1,3,12,0,2,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,15,3.0,45,0,6,10,9,1.14,0,1,-1,-0.87,-2.04,0.9,1.8,-1.0,-0.86,-1.42
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,France,0,0,,0.00,0.00,,,,0,,0.0,0.0,6,9,66.7,102,10,1,1,100.0,3,6,50.0,1,1,100.0,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,0,0,9,0,,0,,9,0,0,0,8,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,10,0.3,,0,1,10,4,1.00,0,0,0,0.00,-0.18,0.0,0.0,0.0,+0.14,+0.33
7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,8,2,352,3.9,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.8,5,16,13,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches,2021-2022,France,4,1,25.0,1.02,0.26,0.00,0.00,11.8,0,0.09,-0.4,-0.4,107,147,72.8,1681,608,51,63,81.0,39,47,83.0,9,14,64.3,0.2,-0.5,3,8,3,0,10,2.56,8,0,1,0,1,0,0.00,0,0,0,0,0,0,15,11,5,8,2,8,50.0,8,0,0,11,26,6,0,193,8,7,193,6,66.7,3,33.3,108,1,8,6,101,0,16,0,11,0,0,0,35,3,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,4,0,44,10.3,76,1,6,34,3,1.13,4,5,-1,-0.26,-0.26,3.4,4.9,-1.5,-0.39,-0.18
8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,36,25,2260,25.1,1,7,8,1,0,0,5,0,2.0,2.0,5.7,7.7,66,164,99,0.04,0.28,0.32,0.04,0.32,0.08,0.23,0.31,0.08,0.31,Matches,2021-2022,France,32,15,46.9,1.27,0.60,0.03,0.07,21.2,4,0.06,-1.0,-1.0,906,1251,72.4,17505,6047,410,480,85.4,310,407,76.2,157,279,56.3,4.3,+1.3,59,122,36,4,121,4.82,81,22,6,5,4,18,0.72,13,3,1,0,1,0,43,27,22,14,7,19,27.9,49,33,30,37,80,11,2,1531,16,45,1531,46,57.5,34,42.5,996,17,59,47,1050,0,21,4,114,0,0,0,150,12,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,11,30,12,38,17,1,63,66.1,78,10,11,28,1,0.75,33,59,-26,-1.04,-0.03,26.6,43.4,-16.8,-0.67,-0.27
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,27,21,1868,20.8,0,0,0,0,0,0,6,0,1.2,1.1,0.7,1.7,16,116,28,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.05,0.08,Matches,2021-2022,France,15,1,6.7,0.72,0.05,0.00,0.00,11.9,0,0.07,-1.2,-1.1,836,996,83.9,15009,4513,371,417,89.0,328,377,87.0,112,141,79.4,0.6,-0.7,13,86,8,0,35,1.69,28,1,1,1,0,2,0.10,2,0,0,0,0,0,51,31,24,20,7,23,51.1,22,30,21,52,103,27,1,1210,55,30,1210,22,68.8,10,31.3,705,6,19,17,741,0,31,0,5,0,1,0,148,26,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,10,0,0,1,0,69,54.6,83,13,6,21,4,1.30,27,32,-5,-0.24,-0.07,27.5,31.5,-3.9,-0.19,+0.33
10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,31,31,2735,30.4,2,2,4,2,0,0,3,1,2.1,2.1,0.3,2.4,11,101,1,0.07,0.07,0.13,0.07,0.13,0.07,0.01,0.08,0.07,0.08,Matches,2021-2022,France,25,7,28.0,0.82,0.23,0.08,0.29,9.4,0,0.08,-0.1,-0.1,1959,2204,88.9,40414,15329,613,660,92.9,1050,1106,94.9,277,398,69.6,0.3,+1.7,4,118,2,0,15,0.49,10,0,0,1,0,4,0.13,3,0,0,0,1,0,27,18,16,11,0,14,58.3,10,24,10,24,51,127,1,2469,221,34,2469,5,83.3,1,16.7,1611,0,7,4,1849,0,20,1,1,1,2,0,154,95,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,2,41,5,0,0,0,88,80.0,88,28,0,,0,1.94,66,29,+37,+1.22,+0.56,49.4,33.1,+16.2,+0.53,+0.06
