Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,2881,32.0,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.08,0.03,0.08,Matches,2021-2022,England1,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0.06,-0.8,-0.8,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75.0,57,160,35.6,1.7,+0.3,20,50,37,9,46,1.44,34,3,2,3,1,3,0.09,3,0,0,0,0,0,64,44,49,15,0,37,67.3,18,39,20,28,92,96,1,1841,160,23,1841,34,50.0,34,50.0,953,12,38,23,1030,0,27,1,50,0,2,1,154,13,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,5,4,315,0,0,0,85,84.2,89,29,2,22,2,0.53,18,69,-51,-1.59,+0.08,25.5,60.0,-34.6,-1.08,+0.35
2,Che Adams,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3.0,10.1,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,Matches,2021-2022,England1,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0,0.15,-0.1,-0.1,304,472,64.4,4188,1017,188,256,73.4,73,106,68.9,18,34,52.9,1.7,0.0,26,24,10,0,51,2.25,32,0,2,11,2,5,0.22,3,0,1,0,0,1,13,6,5,5,3,2,12.5,14,18,16,8,21,18,0,712,22,94,712,20,57.1,15,42.9,394,13,59,34,537,0,29,7,8,0,0,0,70,61,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,1,0,0,0,68,59.6,82,13,7,22,4,1.03,25,40,-15,-0.66,-0.08,28.5,36.1,-7.7,-0.34,+0.16
3,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2,60,49,127,0.05,0.10,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11,Matches,2021-2022,England1,13,4,30.8,0.64,0.20,0.08,0.25,17.6,0,0.04,+0.4,+0.4,763,1025,74.4,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,1.1,+0.4,17,28,14,10,45,2.22,30,8,4,2,1,6,0.30,4,1,0,0,1,0,64,36,46,15,3,22,50.0,22,24,22,22,86,39,1,1293,49,39,1293,42,51.9,39,48.1,659,19,44,27,736,0,14,3,96,1,0,0,128,17,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,1,7,172,11,16,0,79,53.5,89,17,3,13,12,1.13,25,26,-1,-0.05,+0.18,18.6,33.6,-15.0,-0.74,-0.49
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,Matches,2021-2022,England1,7,1,14.3,0.32,0.05,0.14,1.00,8.8,0,0.11,+0.2,+0.2,627,892,70.3,10133,4740,303,372,81.5,255,342,74.6,47,105,44.8,1.8,+1.3,8,41,13,2,33,1.50,22,6,2,1,1,7,0.32,3,1,2,0,1,0,29,18,21,6,2,13,61.9,8,19,8,26,55,74,0,1101,108,31,1101,13,72.2,5,27.8,488,2,25,7,530,0,12,0,17,0,0,0,109,49,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,2,3,148,0,0,0,83,58.3,85,17,1,45,3,1.29,28,31,-3,-0.14,+0.18,27.7,29.8,-2.1,-0.09,-0.05
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8,0.20,0.00,0.20,0.20,0.20,0.07,0.06,0.12,0.07,0.12,Matches,2021-2022,England1,5,2,40.0,0.49,0.20,0.40,1.00,7.3,0,0.13,+1.3,+1.3,796,878,90.7,13200,4534,373,399,93.5,384,416,92.3,29,42,69.0,0.5,-0.6,2,63,3,0,5,0.49,5,0,0,0,0,0,0.00,0,0,0,0,0,0,16,9,7,8,1,6,75.0,2,7,2,8,24,23,0,956,56,10,956,0,0.0,2,100.0,677,0,4,3,741,0,9,0,1,0,0,0,43,37,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,2,26,0,0,0,66,27.0,82,8,4,25,22,2.64,19,3,+16,+1.56,-0.49,20.3,5.3,+15.0,+1.46,-0.31
6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2.0,2.5,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.20,0.04,0.20,Matches,2021-2022,England1,4,1,25.0,0.32,0.08,0.25,1.00,16.3,0,0.12,+0.5,+0.5,347,558,62.2,5152,2040,220,258,85.3,86,145,59.3,26,94,27.7,1.0,0.0,11,23,8,6,19,1.51,12,4,0,3,0,2,0.16,2,0,0,0,0,0,31,19,16,9,6,10,21.3,37,15,12,14,45,20,0,705,35,12,705,15,37.5,25,62.5,357,2,21,8,397,0,6,2,78,0,0,0,65,4,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2,3,48,27,6,0,67,33.1,90,11,6,24,17,1.35,17,24,-7,-0.56,-0.95,13.3,24.6,-11.3,-0.90,-0.89
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,1534,17.0,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2,24,214,45,0.06,0.23,0.29,0.06,0.29,0.11,0.14,0.25,0.11,0.25,Matches,2021-2022,England1,25,6,24.0,1.47,0.35,0.04,0.17,19.3,0,0.08,-0.9,-0.9,1340,1508,88.9,24737,7150,573,624,91.8,594,640,92.8,150,190,78.9,1.7,+1.7,29,211,26,1,67,3.93,57,0,1,1,1,6,0.35,6,0,0,0,0,0,48,29,14,24,10,10,23.8,32,22,20,26,74,13,2,1700,32,20,1700,20,62.5,12,37.5,1039,1,16,13,1279,0,19,0,4,0,0,0,126,31,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,17,4,0,1,0,61,44.9,80,5,8,22,1,2.64,43,7,+36,+2.11,+0.59,42.7,10.9,+31.9,+1.87,+0.77
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,14,2,0,0,2,0,2.4,2.4,12.0,14.4,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,Matches,2021-2022,England1,51,15,29.4,1.61,0.47,0.04,0.13,24.0,8,0.05,-0.4,-0.4,2039,2757,74.0,40112,15683,841,964,87.2,811,1048,77.4,344,636,54.1,13.0,0.0,90,245,85,25,160,5.05,96,53,3,1,0,18,0.57,13,4,0,1,0,0,40,23,19,13,8,27,45.0,33,22,18,43,83,40,0,3036,71,83,3036,19,48.7,20,51.3,1504,14,41,19,1897,0,12,11,273,0,0,0,235,15,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,17,69,324,29,89,0,89,83.4,89,30,0,,2,2.38,80,22,+58,+1.83,+0.24,74.1,30.0,+44.1,+1.39,-0.32
9,Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,2021-2022,England1,0,0,,0.00,0.00,,,,0,,0.0,0.0,1214,1388,87.5,28439,18286,275,276,99.6,686,699,98.1,249,409,60.9,0.0,+0.8,1,16,1,0,2,0.06,2,0,0,0,0,1,0.03,1,0,0,0,0,0,3,1,3,0,0,3,60.0,2,1,1,0,3,28,1,1469,1042,0,1469,1,100.0,0,0.0,873,0,1,0,836,0,0,0,0,0,0,1,80,15,93.8,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,,3,24.4,0.25,+1.4,+0.04,211,16.5,26.3,33.1,33.4,340,22,6.5,89,2.47,18.7,234,0,3,0,0,0,0,90,94.7,90,36,0,,0,2.44,87,24,+63,+1.75,-0.75,84.1,32.1,+52.0,+1.44,-0.02
10,Allan,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matches,2021-2022,England1,7,3,42.9,0.29,0.12,0.00,0.00,24.5,0,0.03,-0.2,-0.2,778,982,79.2,12868,4192,356,405,87.9,337,402,83.8,57,102,55.9,1.0,+1.2,15,103,20,3,38,1.57,35,0,1,1,1,7,0.29,5,0,1,0,1,0,74,44,28,39,7,34,32.4,71,40,31,23,97,39,1,1259,77,7,1259,21,67.7,10,32.3,650,4,38,24,672,0,30,0,10,1,0,0,191,11,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,1,2,10,0,0,0,78,63.8,85,17,3,23,5,1.14,26,38,-12,-0.49,+0.31,27.5,32.8,-5.4,-0.22,+0.42
