Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
1,Mohamed Abarhoun,ma MAR,DF,Moreirense,28,1989,23,23,2051,22.8,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,2017-2018,Portugal,6,2,33.3,0.26,0.09,0.17,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,72,,,,,,,,,,,,,,,,,0,24,0,2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,67.0,,22,0,,1,0.78,19,34,-15,-0.66,-0.12
2,Amir Abedzadeh,ir IRN,GK,Marítimo,24,1993,8,8,671,7.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,9,1.20,29,20,75.9,4,2,2,2,25.0,2,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,84,21.9,,7,0,,25,1.75,14,9,+5,+0.67,+1.35
3,Abner,br BRA,"DF,MF",Estoril,21,1996,10,7,467,5.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,2,3,150.0,0.39,0.58,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,0,3,0,24,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,15.3,,3,3,,1,0.40,3,12,-9,-1.73,-0.94
4,Vincent Aboubakar,cm CMR,FW,Porto,25,1992,28,25,2003,22.3,15,4,19,14,1,1,2,0,0.67,0.18,0.85,0.63,0.81,Matches,2017-2018,Portugal,77,34,44.2,3.46,1.53,0.18,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,9,,,,,,,,,,,,,,,,,0,24,12,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,65.5,,7,3,,1,2.50,52,13,+39,+1.75,-0.38
5,Marcos Acuña,ar ARG,MF,Sporting CP,25,1991,31,27,2289,25.4,4,5,9,4,0,0,7,0,0.16,0.20,0.35,0.16,0.35,Matches,2017-2018,Portugal,48,12,25.0,1.89,0.47,0.08,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,23,,,,,,,,,,,,,,,,,0,57,4,205,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74.8,,14,4,,0,2.29,47,17,+30,+1.18,+0.13
6,José Adolfo Valencia,co COL,FW,Feirense,25,1991,14,3,308,3.4,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,2017-2018,Portugal,7,3,42.9,2.05,0.88,0.14,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,0,7,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,10.1,,0,11,,4,0.57,4,6,-2,-0.58,-0.13
7,Francisco Afonso,pt POR,DF,Paços,20,1997,6,5,459,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,5,,,,,,,,,,,,,,,,,0,7,1,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,15.0,,4,1,,2,0.83,5,14,-9,-1.76,-1.18
8,João Afonso,pt POR,DF,Vitória,27,1990,8,7,631,7.0,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,2017-2018,Portugal,1,1,100.0,0.14,0.14,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,18,,,,,,,,,,,,,,,,,0,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,20.6,,7,1,,5,0.88,6,14,-8,-1.14,-1.03
9,Lumor Agbenyenu,gh GHA,DF,Sporting CP,20,1996,7,0,135,1.5,0,1,1,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches,2017-2018,Portugal,0,2,,0.00,1.33,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,0,1,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4.4,,0,7,,3,2.71,5,1,+4,+2.67,+1.59
10,Lumor Agbenyenu,gh GHA,DF,Portimonense,20,1996,17,17,1514,16.8,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches,2017-2018,Portugal,0,2,,0.00,1.33,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,0,1,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4.4,,0,7,,3,2.71,5,1,+4,+2.67,+1.59
11,Salvador Agra,pt POR,"MF,FW",Aves,25,1991,17,17,1403,15.6,3,1,4,2,1,1,3,0,0.19,0.06,0.26,0.13,0.19,Matches,2017-2018,Portugal,24,7,29.2,1.54,0.45,0.08,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,4,,,,,,,,,,,,,,,,,0,14,12,76,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,45.8,,9,0,,1,0.76,12,25,-13,-0.83,-0.73
