Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,27,27,2387,26.5,1,2,3,1,0,0,9,1,0.4,0.4,0.6,1.0,10,73,6,0.04,0.08,0.11,0.04,0.11,0.01,0.02,0.04,0.01,0.04,Matches,2021-2022,Portugal,11,3,27.3,0.41,0.11,0.09,0.33,22.9,2,0.04,+0.6,+0.6,1080,1425,75.8,23691,10615,291,335,86.9,583,665,87.7,194,377,51.5,0.6,+1.4,9,80,5,2,28,1.02,24,4,0,0,0,5,0.18,5,0,0,0,0,0,74,45,44,28,2,46,61.3,29,36,22,43,117,103,0,1729,183,13,1729,4,57.1,3,42.9,837,0,12,1,1041,1,37,3,9,0,3,1,153,46,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,3,29,43,0,0,0,88,78.0,88,24,0,,2,1.14,29,41,-12,-0.45,-0.32,28.4,39.2,-10.8,-0.39,-0.25
2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,26,7,774,8.6,2,1,3,2,0,0,8,1,0.8,0.8,1.4,2.2,10,51,12,0.23,0.12,0.35,0.23,0.35,0.10,0.16,0.26,0.10,0.26,Matches,2021-2022,Portugal,10,3,30.0,1.16,0.35,0.20,0.67,22.7,3,0.08,+1.2,+1.2,339,416,81.5,5869,1922,163,184,88.6,137,158,86.7,33,53,62.3,1.2,-0.4,11,48,6,0,29,3.39,19,4,1,2,1,7,0.82,6,0,0,0,1,0,22,13,8,13,1,6,24.0,19,9,6,8,30,8,0,494,11,11,494,4,57.1,3,42.9,267,1,5,5,337,1,16,0,8,1,2,0,50,6,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,3,1,2,3,0,30,25.3,75,0,19,13,4,1.42,17,12,+5,+0.58,+0.58,12.4,14.5,-2.1,-0.24,-0.13
3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Portugal,0,0,,0.00,0.00,,,,0,,0.0,0.0,925,1099,84.2,21972,14172,202,203,99.5,505,512,98.6,217,382,56.8,0.0,0.0,0,6,0,0,4,0.12,4,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,1,100.0,0,0,0,2,3,11,0,1149,999,0,1149,1,100.0,0,0.0,654,0,2,0,595,0,2,0,0,0,0,0,57,2,100.0,23,0.70,81,59,72.8,26,4,3,17,51.5,1,1,0,50.0,1,23.7,0.28,+2.7,+0.08,122,22.2,28.4,23.3,28.0,302,14,4.6,36,1.09,15.1,272,0,1,1,0,0,0,90,97.1,90,33,0,,1,2.48,69,23,+46,+1.39,-2.61,69.5,21.5,+48.0,+1.46,+0.89
4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,4,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022,Portugal,0,0,,0.00,0.00,,,,0,,0.0,0.0,21,22,95.5,426,104,7,7,100.0,6,6,100.0,6,6,100.0,0.0,0.0,0,2,1,0,1,5.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,0,0.0,3,0,0,0,1,0,0,23,0,0,23,0,,0,,10,0,0,0,16,0,1,0,0,0,0,0,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,5,0.6,,0,4,5,4,1.00,0,1,-1,-5.00,-5.18,0.1,1.0,-0.9,-4.62,-4.50
5,João Afonso,pt POR,DF,Santa Clara,31,1990,15,12,1119,12.4,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,6,22,0,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,Matches,2021-2022,Portugal,5,2,40.0,0.40,0.16,0.00,0.00,14.5,0,0.11,-0.5,-0.5,387,483,80.1,8203,3322,110,129,85.3,218,246,88.6,58,97,59.8,0.3,-0.6,4,22,0,0,6,0.48,6,0,0,0,0,0,0.00,0,0,0,0,0,0,14,8,9,5,0,10,55.6,8,13,2,17,31,57,0,605,85,17,605,2,66.7,1,33.3,306,0,4,0,358,0,10,1,2,0,1,0,48,17,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,7,0,0,0,0,75,36.6,89,11,3,16,17,1.07,13,27,-14,-1.13,-1.03,17.3,17.0,+0.3,+0.02,+0.05
6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,11,11,967,10.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,7,24,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,Portugal,5,1,20.0,0.47,0.09,0.00,0.00,23.4,2,0.05,-0.3,-0.3,460,512,89.8,9923,2681,91,102,89.2,301,317,95.0,65,83,78.3,0.1,-0.1,2,17,1,0,6,0.56,6,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,2,2,0,2,40.0,3,13,3,12,16,40,1,608,73,3,608,2,100.0,0,0.0,380,0,5,1,418,0,17,1,0,0,0,0,37,25,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,7,0,0,0,0,88,31.6,88,10,0,,0,1.82,16,9,+7,+0.65,+1.25,12.7,13.5,-0.8,-0.07,+0.49
7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,32,31,2608,29.0,6,3,9,5,1,1,5,0,6.6,5.8,5.3,11.1,65,79,206,0.21,0.10,0.31,0.17,0.28,0.23,0.18,0.41,0.20,0.38,Matches,2021-2022,Portugal,54,24,44.4,1.86,0.83,0.09,0.21,21.9,12,0.11,-0.6,-0.8,615,949,64.8,10922,3252,287,355,80.8,229,339,67.6,78,188,41.5,5.1,-2.3,40,46,32,12,82,2.83,49,20,5,3,1,15,0.52,8,3,2,1,1,0,26,14,13,11,2,10,35.7,18,9,7,11,37,12,0,1197,18,49,1196,22,44.0,28,56.0,686,14,47,35,807,0,24,9,142,0,0,0,127,9,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,10,10,19,32,28,1,82,85.2,83,13,1,26,0,0.88,33,49,-16,-0.55,+1.44,31.3,44.2,-12.9,-0.44,+1.69
8,Mohamed Aidara,ci CIV,DF,Vizela,24,1996,18,14,1350,15.0,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,1,9,1,0.07,0.00,0.07,0.07,0.07,0.08,0.00,0.08,0.08,0.08,Matches,2021-2022,Portugal,8,1,12.5,0.53,0.07,0.13,1.00,9.1,0,0.14,-0.2,-0.2,449,572,78.5,9553,3448,120,144,83.3,261,285,91.6,68,125,54.4,0.1,0.0,0,15,1,0,5,0.33,4,0,0,0,0,0,0.00,0,0,0,0,0,0,13,8,11,2,0,7,43.8,9,21,10,23,36,83,0,730,134,15,730,1,100.0,0,0.0,353,0,8,2,413,0,19,0,2,0,1,0,68,39,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,4,0,0,0,0,75,44.1,89,12,4,27,10,1.28,18,29,-11,-0.73,-0.21,18.4,28.7,-10.4,-0.69,-0.55
9,Chima Akas,ng NGA,DF,B-SAD,27,1994,25,21,1751,19.5,1,1,2,1,0,0,10,0,0.5,0.5,1.1,1.6,7,45,38,0.05,0.05,0.10,0.05,0.10,0.02,0.06,0.08,0.02,0.08,Matches,2021-2022,Portugal,7,2,28.6,0.36,0.10,0.14,0.50,17.4,0,0.07,+0.5,+0.5,541,776,69.7,9633,4350,230,261,88.1,258,341,75.7,45,138,32.6,1.1,-0.1,9,31,8,5,18,0.93,11,5,1,0,0,1,0.05,1,0,0,0,0,0,29,20,13,15,1,15,53.6,13,25,13,26,55,53,0,953,91,10,953,3,37.5,5,62.5,424,2,19,4,461,0,28,3,27,0,1,0,82,23,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,1,1,151,1,0,0,70,57.2,79,12,4,22,6,0.92,11,29,-18,-0.93,+0.04,16.0,34.7,-18.7,-0.96,-0.48
10,Alex,br BRA,DF,Famalicão,22,1999,19,17,1477,16.4,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.8,8,34,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches,2021-2022,Portugal,3,1,33.3,0.18,0.06,0.00,0.00,9.8,0,0.08,-0.2,-0.2,621,710,87.5,12190,4618,207,234,88.5,340,360,94.4,65,98,66.3,0.5,-0.5,4,31,0,0,18,1.10,12,0,1,4,1,0,0.00,0,0,0,0,0,0,32,22,22,9,1,16,59.3,11,25,5,17,49,65,1,876,124,7,876,2,66.7,1,33.3,500,1,6,2,562,0,18,0,0,1,0,1,72,26,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,8,0,0,0,0,78,48.3,85,14,2,17,6,1.42,24,26,-2,-0.12,+0.11,27.8,21.7,+6.1,+0.37,+0.58
