league_name,league_true
[France] Lig,French Ligue 1
[England] Premier Le,English Premier League
[Spain] La ,Spanish La Liga
[Germany] Bundes,German Bundesliga
[Italy] Ser,Italian Serie A
[Saudi Arabia] Pro Le,Asia
[Turkey] Super,Europe
[Brazil] Ser,South america
[Portugal] Liga Port,Liga portugal
[United States] Major League So,North america
[Netherlands] Erediv,Eredivisie
[Belgium] Jupiler Pro Le,Europe
[Croatia] 1.,Europe
[Argentina] Liga Profesi,South america
[Spain] La Li,Europe
[China PR] Super Le,Asia
[Czech Republic] Fortuna ,Europe
[Uruguay] Primera Divi,South america
[Colombia] Liga Bet,South america
[Ukraine] Premier Le,Europe
[England] Champion,Europe
[Scotland] Premier,Europe
[Switzerland] Super Le,Europe
[Denmark] Super,Europe
[United Arab Emirates] Pro Le,Asia
[Greece] Super Le,Europe
[Korea Republic] K Leag,Asia
[Australia] A-Le,Asia
[Austria] Bundes,Europe
[Chile] Primera Divi,South america
[Ecuador] Liga,South america
[Peru] Primera Divi,South america
[Paraguay] Primera Divi,South america
[South Africa] Premier Le,South america
[Poland] Ekstrak,Europe
[Hungary] N,Europe
[Germany] 2. Bundes,Europe
[Norway] Elitese,Europe
[Sweden] Allsven,Europe
[Cyprus] 1. Divi,Europe
[England] National Le,Europe
[Venezuela] Primera Divi,South america
[England] League,Europe
[Romania] Li,Europe
[Bolivia] Liga De Futbol ,South america
[India] Indian Super Le,Asia
[Saudi Arabia] Pro Le,Asia
[Japan] J-Le,Asia
[Germany] 3. ,Europe
[Republic of Ireland] Premier Divi,Europe
[Finland] Veikkausl,Europe
[Russia] Premier Le,Europe
[Mexico] Lig,North america
