,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Sebastián Olivarez,3802,Godoy Cruz,31, D(C)  ,1,90,0,1,52,65.4,0,10,0,8.71,1,0,0,2,5,1,0,0,0,0,1,2,8,1,0,5,1,1,0
1,Nicolás Ortíz,896,Gimnasia LP,28, Defender  ,1,90,0,0,16,68.8,0,3,0,8.06,1,0,0,1,2,1,0,1,0,0,0,0,0,4,2,9,0,3,0
2,Guillermo Sara,889,Boca Juniors,35, GK  ,1,90,0,0,27,22.2,0,6,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3,Darío Benedetto,889,Boca Juniors,33, FW  ,9,760,3,1.1,19.9,77.7,0,1.3,0.2,7.79,9,3,0,3,0.7,2,1.2,1.6,0.7,2,2.8,0.3,0,1.1,0,0.7,0.2,0.3,0
4,Alexander Barboza,905,River Plate,28, D(C)  ,5,450,0,1,54.4,75.7,0,4.2,0,7.78,0,1,0,1.2,4.2,2,1.8,0.8,0,0.6,1,3.2,5,1.2,1,7.4,1.2,0.6,0
5,Cristian Lema,894,Belgrano,33, D(C)  ,25,2250,2,0.6,42.4,74.3,0.1,3.1,0.1,7.74,8,10,0,1.7,4.2,6,0.6,0.7,0,0.4,0.6,1.9,3,1.4,0.9,6,0.4,0.6,0
6,Mauro Zárate,895,Velez Sarsfield,36," M(CLR),FW  ",12(1),1048,1,2.1,23.6,80.1,1.4,0.6,0.2,7.64,8,4,0,4.3,0.6,2,3,2.6,0.2,2.7,2.1,0.3,0.3,1.6,0,0.5,1.2,0,0
7,Ignacio Pussetto,898,Huracan,27," AM(CLR),FW  ",27,2379,5,1,25.7,64.2,0.2,0.7,0,7.61,9,4,0,2,3.9,7,3.2,2.5,0.4,1.7,3.5,1.9,1.1,1.7,0,1.1,1.1,0,0
8,Lautaro Martínez,890,Racing Club,25, FW  ,20(1),1785,4,1,15.2,67.4,0.3,0.8,0,7.60,13,4,0,4,1.5,5,1.8,3.2,0.7,2.1,3.4,0.5,0.3,2.3,0,1.1,0.3,0,0
9,Cristian Pavón,889,Boca Juniors,27," AM(CLR),FW  ",26,2283,11,1.9,36.5,74.1,1,1.2,0,7.57,6,3,0,2.5,0.7,5,2.5,1.2,0.5,2,2,1.4,0.8,0.4,0,0.2,1.2,0,0
10,Franco Sbuttoni,6148,Atletico Tucuman,34, D(C)  ,4,360,0,0,29,76.7,0,2.3,0,7.56,1,0,0,0.8,2.5,1,0,1.5,0,0.8,0.8,1.5,2,0.3,0.8,7.3,0.3,1,0
11,Ricardo Centurión,890,Racing Club,30," AM(CLR),FW  ",11(2),1013,6,2.2,26.3,71.9,1.6,1,0.1,7.54,7,4,1,1.8,0.3,3,2.9,2.7,0.6,2.1,4,0.8,0.5,1.3,0,0.3,0.9,0,0
12,Juan Ramírez,893,Talleres,29, AM(CL)  ,26,2185,1,1.3,43.6,83.4,0.3,1.2,0.1,7.51,5,3,0,1.4,0.8,6,2.9,3.5,0,1.4,2.8,2.4,1.6,1.3,0,0.4,1.5,0.3,0
13,Diego Morales,4735,Tigre,36," AM(C),FW  ",11(1),879,3,2.2,40.4,77.1,1.6,2.8,0.2,7.50,3,2,0,2.1,0.3,5,3.1,1.4,0.2,1.5,3.4,1.6,0.8,0.8,0,0.2,1.3,0,0
14,Mauricio Toni,895,Velez Sarsfield,25, Defender  ,0(1),81,0,0,46,76.1,0,2,0,7.50,0,0,0,0,2,0,0,0,0,0,1,3,4,1,0,8,1,0,0
15,Frank Fabra,889,Boca Juniors,32, D(L)  ,22,1936,3,1,40,83.8,0.3,2.4,0,7.45,2,6,0,0.5,1.4,2,2,0.9,0,0.8,1.6,2.7,1.6,1.3,0,2.4,1.1,0.3,0
16,Kevin Mac Allister,907,Argentinos Juniors,25, D(CLR)  ,10(2),994,0,0.2,27.1,73.5,0,1.7,0,7.45,1,4,0,0.6,1.7,2,0.4,1.3,0.1,0.5,1.3,4.8,3.8,2.1,0.2,3.8,1.5,0.1,0
17,Gonzalo Piovi,907,Argentinos Juniors,28," D(CL),M(L)  ",13,1168,1,0.8,43.8,72.8,0.4,4.2,0.1,7.44,0,4,0,1.6,1.4,4,0.5,0.6,0.1,0.6,1.1,5.2,3.6,2.1,0.4,3.5,0.9,0.1,0
18,Germán Conti,891,Colon,28, D(C)  ,25,2250,1,0.1,35.8,75.1,0,2.4,0,7.44,1,8,0,0.6,3.1,6,0.2,0.7,0,0.2,0.4,1.9,3.8,1.2,0.6,8.5,0.7,0.7,0
19,Sergio Barreto,897,Independiente,24, D(C)  ,1,90,0,0,34,61.8,0,1,0,7.44,0,0,0,0,6,0,0,0,0,0,1,1,4,0,3,8,0,2,0
20,Matías Melluso,896,Gimnasia LP,24, D(L)  ,4,360,1,1.3,25.5,63.7,0,2.3,0,7.43,0,1,0,0,1.8,0,0.3,1.3,0,0.5,1.3,5.5,2.8,1.5,0,4,1,0.8,0
21,Brahian Alemán,896,Gimnasia LP,33," M(CLR),FW  ",23(3),2086,7,2.1,31.5,72.3,1.9,1.8,0.2,7.41,5,2,0,2.8,2.6,5,2,3.6,0.2,3.1,3.1,1.2,0.8,1.5,0,1.4,0.8,0.1,0
22,Oscar Cabezas,903,Rosario Central,26, D(C)  ,8(2),704,0,0.1,32.8,78,0,2.1,0,7.40,1,2,0,0.2,3.4,2,0.6,0.8,0.1,0.1,0.5,1.6,4,0.9,0.7,5,0.7,0.8,0
23,Sebastián Torrico,906,San Lorenzo,43, GK  ,2,180,0,0,19.5,53.8,0,8.5,0,7.40,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0
24,Carlos Quintana,893,Talleres,35, D(C)  ,16(2),1458,0,0.1,47.8,83.7,0,2.9,0,7.38,2,3,0,0.7,3.6,2,0.4,0.6,0.2,0.1,0.7,1.5,2.1,1.3,0.2,5.1,0.3,0.9,0
