,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Julián Álvarez,905,River Plate,23," AM(CR),FW  ",17(4),1592,6,2.1,28.6,73.2,1.1,1.6,0.1,7.83,18,1,0,3.1,0.7,8,2.1,0.6,0.6,1.3,3,1,0.3,0.8,0,0.2,0.8,0.1,0
1,Carlos Lampe,895,Velez Sarsfield,36, GK  ,1,90,0,0,33,93.9,0,7,0,7.70,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2,Walter Pérez,898,Huracan,24," D(L),M(L)  ",0(1),74,0,0,23,65.2,0,2,0,7.63,1,0,0,1,0,0,1,1,0,0,1,3,2,1,0,0,1,0,0
3,Matías Mansilla,9310,Patronato de Parana,27, Goalkeeper  ,2,180,0,0,23,45.7,0,8,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0
4,Nicolás de la Cruz,905,River Plate,25, AM(CL)  ,9(2),773,1,2,57.5,83.9,0.6,2.9,0.2,7.57,4,1,0,1.7,0.6,2,2.2,2.2,0,1.2,2.3,1.7,0.8,1.1,0,0.6,1.5,0.1,0
5,Matías Galarza,907,Argentinos Juniors,21, Midfielder  ,0(1),54,1,2,32,81.3,1,0,1,7.51,0,1,0,0,0,0,2,3,0,3,2,1,0,2,0,0,0,1,0
6,Enzo Díaz,893,Talleres,27," D(CL),M(L)  ",23,2021,5,1.7,41.2,76.6,1.4,4.3,0,7.48,4,7,1,0.9,2,6,1.7,1.8,0.2,1,1.8,2.7,1.6,1.8,0.3,2.2,0.8,0.2,0
7,Martín Ojeda,3802,Godoy Cruz,24, AM(CLR)  ,22(1),1965,3,2.3,32.4,70.9,2,1.9,0,7.45,12,2,0,3.7,0.3,6,2,1.1,0.4,0.7,3.5,0.8,0.5,0.5,0,0,1,0,0
8,José López,899,Lanus,22, FW  ,24(1),2053,2,0.8,17.5,58.4,0,0.9,0,7.44,13,1,0,2.7,3.9,5,1.5,2,0.2,1.2,3,1,0.5,1.4,0,1.1,0.8,0.1,0
9,Emiliano Vecchio,903,Rosario Central,34, M(C)  ,13(2),1122,5,3.1,50.4,86.4,1.9,4.5,0.1,7.38,5,3,1,1.3,0.4,3,2.3,2.3,0.1,1.9,2.1,0.7,0.2,0.9,0,0.1,0.5,0,0
10,Diego Valoyes,893,Talleres,26," AM(LR),FW  ",18(3),1638,3,1.2,22.5,67,0.3,0.6,0,7.37,4,5,0,1.8,3.2,7,3.3,1.8,0.1,2.3,3.4,1.8,0.5,2,0.1,1.3,0.8,0.4,0
11,Fernando Zuqui,901,Estudiantes,31, M(CR)  ,24,2058,6,2.5,38.3,78.9,2.3,2.8,0.1,7.34,0,9,0,0.8,0.3,4,1.8,2.3,0.1,1,2,2,1.4,1.3,0,0.8,1.4,0.1,0
12,César Ibáñez,898,Huracan,23, D(L)  ,16(1),1393,2,0.7,29.1,69,0.8,2.2,0,7.33,1,8,1,0.7,1.6,3,1.1,1.6,0,0.4,1.4,5.1,1.6,2.1,0.2,1.6,2,0.4,0
13,Marco Ruben,903,Rosario Central,36, FW  ,19,1674,1,0.6,13.1,73.4,0.1,0.2,0,7.32,15,4,0,3.2,1.6,3,0.6,1.6,1,1.6,2.7,1.2,0.4,2.2,0,0.7,0.6,0.1,0
14,Carlos Rotondi,6147,Defensa y Justicia,26, M(L)  ,22(2),1944,8,1.4,23.4,72.6,0.8,0.8,0.1,7.31,3,1,0,0.9,1.1,3,1.5,1.2,0.6,0.5,2.4,2.7,1.2,1.5,0,1.5,1.4,0.1,0
15,Agustín Sandez,889,Boca Juniors,22, D(L)  ,7(1),594,1,1.6,40.5,87.3,1.3,1,0,7.29,0,4,0,0.8,1.9,1,1.3,0.3,0,0.3,1.1,3.1,1,1.5,0.4,1.3,0.8,0.3,0
16,Alan Velasco,897,Independiente,20, AM(CL)  ,24,1989,5,2.3,29.3,79.2,1,1.5,0.1,7.27,1,7,0,1.7,0.3,4,4.7,2.7,0,2.8,4.5,1,0.5,0.9,0,0.1,1.1,0,0
17,Enzo Pérez,905,River Plate,37, M(CR)  ,16(1),1349,1,0.5,67.8,88.9,0,4.1,0.1,7.26,2,6,0,0.3,2.8,0,0.7,1.5,0,0.4,0.6,1.5,1.6,1.1,0.1,1.6,0.8,0.3,0
18,Agustín Palavecino,905,River Plate,26, M(CL)  ,17(5),1375,8,1.7,42.7,79.1,0.6,3.2,0.1,7.25,4,1,0,2.4,0.3,1,1.7,1,0.1,1.1,2,1.7,0.7,1.6,0,0.3,1.4,0,0
19,Leonardo Morales,896,Gimnasia LP,32, D(CR)  ,24,2160,0,0.1,32.7,71.5,0,3.2,0,7.24,1,2,0,0.4,2.3,3,0.4,0.7,0,0.2,0.5,2,2.6,0.7,0.5,5.5,0.7,1,0
20,Carlos Izquierdoz,889,Boca Juniors,34, D(C)  ,20,1748,1,0.2,56.4,84.5,0,4.9,0.1,7.23,0,1,1,0.9,4.2,1,0.5,1,0,0.3,0.7,1.7,2.3,0.6,0.5,3.8,0.5,0.6,0
21,Franco Cristaldo,898,Huracan,26, AM(CLR)  ,22(3),1795,4,2.4,34.2,80.4,2,2.9,0.1,7.22,3,2,0,1.5,0.6,2,1.6,1.7,0.2,1.3,1.4,1.8,0.8,0.5,0,0.3,1.8,0,0
22,Sebastián Villa,889,Boca Juniors,27," AM(CLR),FW  ",3(3),306,1,1.2,17.2,85.4,0.5,1.2,0.2,7.19,2,0,0,2.8,0.3,0,1.5,1.2,0.7,0.8,2.5,0.5,0.2,0.5,0,0,0.2,0,0
23,Walter Bou,6147,Defensa y Justicia,29," AM(CL),FW  ",23(2),2040,4,1.1,29,71.6,0.2,2.5,0.2,7.18,10,1,0,2.8,0.9,4,2,1.4,0.2,2.2,3.4,1,0.6,0.7,0,1,0.6,0,0
24,Kevin Mac Allister,907,Argentinos Juniors,25, D(CLR)  ,23,1988,0,0.4,49,80.4,0.1,1.7,0,7.17,2,10,0,0.7,3.3,4,0.8,1.4,0,0.2,0.6,2.9,1.8,2.1,0.4,2,1.4,0.5,0
25,Sebastián Sosa,9310,Patronato de Parana,29, FW  ,24,2083,2,0.9,23.5,57.5,0,0.2,0.1,7.17,8,4,0,2.1,5.7,4,0.8,0.8,0.3,1.4,2.8,0.5,0.5,1.2,0,1.7,0.4,0.1,0
26,Francisco Pizzini,6147,Defensa y Justicia,29," AM(CLR),FW  ",21(1),1825,7,0.9,24,72.7,0.4,1.2,0.1,7.15,7,0,0,1.7,1.1,2,0.8,1.1,0.2,0.9,2.5,1.4,0.8,0.3,0,0.8,1.4,0.1,0
27,Emanuel Coronel,1303,Banfield,26, D(R)  ,21,1880,2,1,43.3,74.4,0.7,1.6,0.1,7.13,0,8,0,1.1,1.9,2,1.6,1,0,0.4,2,2.8,2,1.4,0,1.2,0.8,0.3,0
28,Nicolás Castro,902,Newell's Old Boys,22, AM(C)  ,20(2),1705,5,2,35.3,76.1,1.7,3.6,0.1,7.13,5,2,0,1.7,0.2,3,2.3,0.8,0,1.6,3,1.1,0.7,1.2,0,0.5,1.4,0,0
29,Thiago Almada,895,Velez Sarsfield,22, AM(CLR)  ,19(1),1645,4,2.1,42,85.5,0.9,2.2,0.2,7.12,4,1,0,2.4,0.1,1,2.1,1.1,0.1,1.7,3.1,0.9,0.4,0.3,0,0.1,1.2,0,0
30,Juan Ramírez,889,Boca Juniors,30, AM(CL)  ,13(3),1127,2,1.1,39.6,88,0.3,1.4,0.2,7.12,1,0,0,0.9,0.7,3,2.1,2.1,0.1,1.8,1.6,2.3,0.8,0.9,0,0.2,0.9,0,0
31,Nazareno Colombo,6147,Defensa y Justicia,24, D(CR)  ,15(1),1354,1,0.2,53.5,78.7,0,4.7,0,7.12,0,3,0,0.6,2.7,1,0.7,0.5,0.1,0.3,0.3,1.2,2.3,0.6,0.4,5.5,0.4,0.7,0
32,Lucas Villalba,907,Argentinos Juniors,28," D(CL),DMC,M(L)  ",23,2017,1,0.5,62.7,77,0.5,5.3,0,7.11,1,6,0,0.7,3.3,5,0.4,1.2,0,0.6,0.7,1.1,2.8,0.9,0.6,2.7,0.8,0.6,0
33,Lautaro Giannetti,895,Velez Sarsfield,29, D(C)  ,22,1962,0,0.1,60.2,88.1,0,2.5,0,7.10,1,4,0,0.3,2.5,2,0.1,0.4,0,0.2,0.7,2,2,0.8,0.3,4.2,0.5,0.6,0
34,Javier García,889,Boca Juniors,36, GK  ,2,180,0,0.5,30.5,68.9,0,8.5,0,7.10,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
35,Paulo Díaz,905,River Plate,28, D(CLR)  ,15,1296,0,0.1,61.8,85,0,5.9,0,7.10,1,3,0,0.7,3.3,0,0.2,0.7,0.1,0.3,0.8,0.9,1.8,1,0.7,2.8,0.6,0.7,0
36,Fabrizio Angileri,905,River Plate,29," D(L),M(L)  ",9(3),848,3,0.9,41.4,81.7,1.4,1.9,0,7.09,0,2,0,1.2,1.8,0,1,0.5,0,0.4,0.9,1.6,0.3,0.8,0.1,2.2,0.7,0.2,0
37,Gastón Gómez,890,Racing Club,27, GK  ,5,450,0,0.2,30.2,68.2,0,7.8,0,7.09,0,0,0,0,0.2,1,0,0.2,0,0,0,0,0.2,0,0,0.8,0,0,0
38,Fabián Noguera,901,Estudiantes,30, D(C)  ,25,2250,1,0.3,32.9,72.4,0,2.5,0,7.09,4,4,0,1.2,3.7,2,0.2,0.2,0.1,0.1,0.5,1.2,2,0.9,1.1,4.6,0.5,0.5,0
39,Ezequiel Fernández,889,Boca Juniors,20, DMC  ,2,166,0,0,64,86.7,0,2.5,0,7.09,0,1,0,0,2,0,2,6,0,2,1,3.5,0.5,0.5,0,0.5,1.5,0.5,0
40,Maximiliano Coronel,896,Gimnasia LP,34, D(C)  ,7(1),591,0,0.1,30.8,81.7,0,2.8,0,7.08,1,1,0,0.5,2.9,0,0.3,0.9,0,0,0.6,0.8,2.3,0.8,0.3,3.3,0.1,0.8,0
41,Jorman Campuzano,889,Boca Juniors,27, DMC  ,13(1),1140,2,0.3,48.4,86.7,0,3.4,0,7.08,0,5,0,0.1,1.9,1,0.8,2,0,0.7,0.9,2.9,2.5,1.1,0.1,1.2,1.3,0.2,0
42,Iván Gómez,5886,Club Atletico Platense,26, DMC  ,23,1965,2,0.9,33.3,79.2,0.1,1.6,0,7.07,1,3,0,0.8,1,2,1.7,0.8,0,0.9,2.1,3.3,2,1.5,0,0.7,1.3,0.3,0
43,Nery Domínguez,890,Racing Club,33," D(C),DMC  ",19(1),1723,0,0.7,64.9,84.4,0.3,6.6,0.1,7.07,1,3,0,0.2,1,1,0.3,1.1,0,0.2,0.3,1.7,2,0.8,0.7,2.8,0.8,0.8,0
44,Adonis Frías,6147,Defensa y Justicia,25, D(C)  ,24,2160,1,0.2,51.2,84.2,0,4.3,0,7.07,0,8,0,0.6,2.2,1,1,1.3,0.1,0.3,1,1.6,1.4,1,0.9,4.8,0.5,0.9,0
45,Federico Mancuello,895,Velez Sarsfield,34, M(CL)  ,20(3),1667,5,1.7,50.1,83.9,1.4,3.2,0.1,7.07,3,5,0,1.4,0.5,4,0.5,0.7,0,0.6,1.3,2,1,1.3,0,0.9,0.6,0.1,0
46,Mauro Luna Diale,892,Union,24," AM(C),FW  ",10(2),944,1,1.3,20.9,67.7,0.3,0.5,0.1,7.07,4,1,0,1.8,0.9,1,1.7,1.3,0.3,2.3,2.6,2.2,0.2,1.6,0,0.1,1,0,0
47,Matías Suárez,905,River Plate,35," AM(CL),FW  ",5(3),479,3,1.5,19.6,70.1,0.1,0.9,0.4,7.07,3,1,0,2,0.5,1,0.6,1.6,1.1,1,3,0,0.5,1,0,0.4,0.5,0,0
48,Ignacio Malcorra,899,Lanus,35, AM(CL)  ,19(3),1630,7,2.3,24.1,68,2.3,1.5,0,7.06,6,3,0,1.5,0.3,0,0.8,1.4,0.3,0.9,2.2,1.1,0.3,0.5,0,0.6,1,0.1,0
49,Aníbal Moreno,890,Racing Club,24, DMC  ,22,1877,1,0.5,46,85,0.1,3.1,0,7.06,1,5,0,0.5,1.1,4,1,0.9,0,0.3,1.5,3.5,1.8,1.6,0,1.7,1.6,0.3,0
50,Agustín Almendra,889,Boca Juniors,23, DMC  ,13(2),965,1,1.5,48.9,83.5,0.5,5.5,0.1,7.06,3,5,0,2.2,0.3,1,1.1,1,0,0.8,1.3,1.7,0.8,0.5,0,0.2,1.4,0.1,0
51,Alan Soñora,897,Independiente,24, M(C)  ,17,1365,4,1.6,47,90.1,0.9,2.1,0.2,7.06,4,1,0,1.4,0.3,4,1.1,0.5,0,0.5,1.9,0.9,1,0.3,0,0.2,0.8,0.1,0
52,Robert Rojas,905,River Plate,27, D(CR)  ,15(1),1311,1,0.4,46.8,83.8,0.2,1.4,0.1,7.06,2,1,0,0.9,2.3,1,0.4,0.4,0.1,0.2,1.2,2.1,1.1,0.8,0.3,2.1,0.2,0.3,0
53,José Devecchi,6145,Aldosivi,27, GK  ,25,2250,0,0,29.2,62.4,0,7.3,0,7.05,0,2,0,0,0.3,3,0,0.1,0,0,0.1,0,0.1,0,0,1.3,0.1,0,0
54,Matías Melluso,896,Gimnasia LP,24, D(L)  ,15,1342,0,0.6,37.7,70.5,0.3,2.4,0,7.05,0,5,0,0.4,1.3,0,0.7,1.9,0.1,0.5,1.2,3.3,2.7,1.6,0.2,3.5,1.3,0.5,0
55,Paolo Goltz,891,Colon,38, D(C)  ,10,890,0,0.2,47.9,83.3,0,6,0,7.04,1,2,1,0.3,3.5,0,0.2,0.4,0.1,0.1,0.3,1.6,2.4,0.9,0.7,5.5,0.9,1.1,0
56,José Moya,898,Huracan,30, D(C)  ,6(1),557,0,0.1,28.4,76.9,0,1.9,0,7.04,2,2,0,0.7,1.9,1,0.3,0.4,0,0.3,0.3,2,1.3,0.7,1.1,3.4,0.4,0.3,0
57,Cristian Lema,902,Newell's Old Boys,33, D(C)  ,17,1449,0,0.6,48.7,74.8,0,5.3,0,7.03,0,6,0,1.4,4.8,0,0.1,0.4,0,0.1,0.4,1.6,2.1,1.3,0.3,4.5,0.6,0.5,0
