,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Guy Mbenza,885,Cercle Bruges,23, forward  ,1,90,0,0,13,69.2,0,1,0,7.77,2,0,0,3,1,1,1,0,0,2,3,0,0,1,0,0,1,0,0
1,Jérémy Doku,240,Anderlecht,20, AM(LR)  ,7,608,3,1.6,27,84.7,0.7,1.7,0.3,7.63,2,1,0,2,0.3,3,3.6,2.4,0.1,2.3,2.3,1.1,0.4,1.1,0,0.1,0.7,0,0
2,Darren Keet,1406,OH Leuven,33, Goalkeeper  ,1,90,0,0,35,74.3,0,14,0,7.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,Ryota Morioka,260,Sporting Charleroi,32," M(C),FW  ",28,2406,7,2.2,56.2,78.1,1.5,5.7,0.1,7.57,2,4,0,1.4,1.4,7,0.8,1.3,0.1,1.4,1.4,3.8,2.3,1.7,0,0.8,1.5,0.1,0
4,Louis Verstraete,2646,SK Beveren,24, M(C)  ,5,439,0,0.2,36.6,74.3,0.2,4.2,0,7.56,3,2,0,1.2,1,1,1,1.6,0,2.2,2.2,4.8,2.4,2,0,1.6,1.6,0.2,0
5,Paul Onuachu,140,Genk,28, FW  ,31(2),2591,3,0.6,21,72.8,0,1,0,7.54,29,4,0,2.9,3.8,7,0.6,1.9,0.5,2.1,2.8,0.7,0.1,1.5,0,1.1,0.2,0.1,0
6,Krépin Diatta,124,Club Bruges,24," M(CLR),FW  ",17(2),1504,2,1.7,33.9,72.1,0.6,1.1,0,7.50,9,0,0,2.7,1.1,6,1.4,1.4,0.4,1.4,1.9,1.4,0.7,0.8,0,0.1,0.2,0,0
7,Théo Bongonda,140,Genk,27, AM(LR)  ,28(1),2423,5,1.7,28.8,80.5,1,0.9,0,7.47,14,3,1,3.1,0.3,6,1.8,3,0.1,1.7,2.6,1.1,0.4,0.9,0,0.4,0.3,0,0
8,Noa Lang,124,Club Bruges,23," AM(LR),FW  ",21(3),1764,7,1.8,40.9,78.5,0.2,1.5,0.1,7.39,14,4,1,2.8,0.1,5,1.6,1.4,0.4,1.6,1.7,0.8,0.4,0.6,0,0,0.3,0,0
9,Dieumerci Mbokani,752,Royal Antwerp,37, FW  ,23(3),2085,2,0.8,21.8,67.2,0,0.5,0,7.33,11,6,0,2.7,5.7,3,0.5,3.8,0.7,1.7,2.7,0.5,0.3,0.7,0,0.5,0.2,0.1,0
10,Hans Vanaken,124,Club Bruges,30, AM(CL)  ,30,2582,7,1.8,58,85.6,0.3,4.7,0.2,7.32,8,2,1,1.8,1.8,3,0.6,1.2,0,1.1,1.2,1.6,1,0.8,0,0.4,0.7,0,0
11,Ruud Vormer,124,Club Bruges,35, M(CR)  ,30(1),2637,9,2.5,51,86.3,2.3,2.4,0.1,7.27,5,3,0,1.5,0.3,2,0,0.5,0.6,0.3,0.5,1.3,0.7,0.9,0,0.5,0.4,0.2,0
12,Selim Amallah,261,Standard Liege,26," AM(CL),FW  ",21(3),1855,3,1.1,25,77,0.3,2,0,7.27,9,5,1,2.8,1.1,6,1.7,3,0.1,3.4,3.2,2.8,1.1,2,0,0.2,0.8,0.1,0
