,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Paolo Guerrero,1219,Internacional,39, FW  ,3,232,1,2,21,68.3,0,0.3,0,7.94,3,0,0,3.7,5.7,2,1,1.7,1,2,2.3,0.3,0.3,2.7,0,0.3,0.3,0,0
1,Flávio,1221,Bahia,27, M(C)  ,1,90,0,1,50,82,0,2,0,7.63,0,0,0,1,0,1,1,2,0,1,0,9,0,3,0,0,3,0,0
2,Marinho,1241,Santos FC,32," AM(CLR),FW  ",24(3),2148,7,1.2,20.7,79.6,0.8,1,0,7.54,17,4,0,3.5,0.6,9,1.7,4.6,0.8,1.9,2.1,1,0.4,1.4,0,0.1,0.9,0,0
3,Claudinho,5438,Red Bull Bragantino,26," AM(CL),FW  ",33(2),2853,6,3,38.1,82.2,1.4,3.1,0.1,7.50,18,4,0,3,0.4,8,1.6,1.7,0.2,1.5,2.6,1,1.1,0.9,0,0.1,1.5,0,0
4,Giorgian de Arrascaeta,1239,Flamengo,28," AM(CLR),FW  ",26(2),2219,9,2.5,40.2,79,1.4,1.8,0.2,7.47,8,0,0,2.4,0.6,6,1.8,1.6,0,1.1,1.9,1.5,0.2,0.6,0,0.2,1.2,0.1,0
5,Keno,1235,Atletico MG,33," AM(CLR),FW  ",29(4),2564,9,1.8,24.2,73.4,1.1,1.2,0.1,7.46,10,4,0,3,0.4,9,3.1,2,0.8,1,2.7,1.2,0.5,1.1,0,0.1,0.8,0,0
6,Max Walef,2065,Fortaleza,29, GK  ,1,90,0,0,56,64.3,0,12,0,7.45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0
7,Luiz Fernando,1227,Botafogo RJ,26," AM(CLR),FW  ",1(1),91,0,1,9,77.8,1,2.5,0,7.31,1,0,0,0.5,0,0,2,0.5,0,2,0,0.5,0.5,0,0,1.5,0,0,0
8,Bruno Henrique,1239,Flamengo,32," AM(CLR),FW  ",30(1),2587,7,1.3,28.3,80.3,0.2,0.5,0,7.28,9,11,0,2.7,2.4,4,1.5,2.2,0.5,1.4,2.1,0.9,0.5,1.9,0,1,0.5,0,0
9,Bruno Tubarão,5438,Red Bull Bragantino,28, AM(LR)  ,5,421,1,1.2,29,75.2,0.4,0,0,7.28,1,0,0,3.2,2,1,1.2,0.8,0.4,1.4,1.8,1.2,1.4,1.2,0.2,0.6,0.4,0,0
10,Vina,7334,Ceara,32," M(CLR),FW  ",30(1),2606,9,2.6,33.8,82.4,2,2.7,0,7.25,13,4,0,2.8,0.4,4,0.8,0.9,0.2,0.7,1.6,0.4,0.4,0.5,0,0.2,0.6,0,0
11,Diego Souza,1244,Gremio,37," AM(CL),FW  ",25,2001,3,1.1,18.7,70.2,0,0.2,0,7.25,13,7,1,2.1,4.1,3,0.6,1.2,0.1,0.8,1.4,0.5,0.2,1.2,0,1,0.2,0,0
12,Patrick,1219,Internacional,30, M(CL)  ,32(1),2624,4,0.9,26.8,79.5,0.2,0.4,0.1,7.24,6,3,0,1.2,1.7,5,2.7,2.1,0,2.2,3,2,0.8,1.3,0,0.4,1.6,0.2,0
13,Éverton Ribeiro,1239,Flamengo,34, AM(CLR)  ,31(2),2650,6,1.7,43.5,83.8,0.8,1.4,0.1,7.24,7,5,0,1.6,0.5,6,2,2.1,0,1.6,2.3,1.5,1.2,1.2,0,0.1,1.6,0.2,0
14,Júlio César,1244,Gremio,36, GK  ,1,90,0,0,22,45.5,0,8,0,7.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
15,Juan Pablo Ramírez,1221,Bahia,25, AM(C)  ,9,674,1,0.7,31.6,83.8,0,1.7,0.3,7.19,3,3,0,1.6,0.2,1,4.1,2.1,0,1.6,2.6,1,0.6,2.1,0,0.1,1.8,0,0
