,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Emiliano Buendía,168,Norwich,26," M(CLR),FW  ",39,3340,16,3.1,48.5,78.6,1.3,3.5,0.3,7.78,15,4,2,2.8,0.9,14,1.6,2,0.1,1.8,2.2,2.4,1.1,1.6,0.1,1.3,1.8,0.1,0
1,William Forrester,96,Stoke,21, D(C)  ,1,90,0,0,21,66.7,0,2,0,7.72,1,0,0,2,2,0,0,0,0,0,0,0,1,1,0,3,0,0,0
2,Kieffer Moore,188,Cardiff,30, FW  ,40(2),3421,1,0.5,24.7,50.6,0.1,0.4,0,7.56,20,4,0,2.5,10.5,12,0.8,1.9,0.5,1.6,3.1,0.4,0.2,1.9,0,1.2,0.1,0.1,0
3,Krystian Bielik,20,Derby,25," D(C),DMC  ",13,1093,0,1.1,51.8,82.8,0.2,3,0.1,7.53,2,4,0,0.7,3.7,4,1.2,1.8,0,0.7,1.3,2.1,2,1.6,0.1,2.2,0.8,0.3,0
4,Joe Rodon,259,Swansea,25, D(C)  ,4,360,0,0,53.8,80.9,0,1.5,0,7.46,0,0,0,0,5.3,1,0,0.3,0,0,0.8,1,2.3,0.3,0.3,7.8,0.5,1.3,0
5,Ivan Toney,189,Brentford,27, FW  ,44(1),3862,10,1,18.9,65.4,0.1,0.3,0.1,7.41,31,7,1,3,3.3,10,0.5,2.3,0.6,0.8,2.4,0.6,0.2,2.2,0,0.8,0.3,0.1,0
6,Michal Helik,142,Barnsley,27, D(C)  ,43,3752,1,0.3,31.4,52.7,0,2.2,0,7.24,5,5,1,0.6,6.1,7,0,0.7,0,0,0.4,1.8,2.4,1.3,1.2,5.4,0.1,0.4,0
7,Alfie Mawson,182,Bristol City,29, D(C)  ,11,958,1,0.3,49.5,78.3,0,5.7,0.1,7.22,0,2,0,0.5,4.8,0,0.5,0.4,0,0.5,0.4,1.5,1.5,1.2,0.5,4.1,0.1,1.2,0
8,Connor Taylor,96,Stoke,21, D(C)  ,0(1),73,0,0,25,80,0,0,0,7.21,0,0,0,2,6,0,1,2,0,0,0,1,5,0,0,2,1,0,0
9,Arnaut Danjuma,183,Bournemouth,26," AM(L),FW  ",29(4),2504,7,1.5,22.4,77.6,1,0.8,0,7.21,15,1,0,2.2,0.2,6,1.8,1.3,0.7,1.4,2.4,0.3,0.2,0.5,0,0.1,0.2,0,0
10,Grant Hanley,168,Norwich,31, D(C)  ,42,3780,0,0.1,68.7,89.1,0,2.7,0,7.19,1,3,0,0.6,4.3,3,0.2,1.5,0,0.2,0.7,0.9,1.8,0.9,0.4,5,0.4,0.7,0
11,Mads Andersen,142,Barnsley,25, D(C)  ,46,4118,5,0.3,40.1,55.1,0,2.5,0,7.19,1,8,1,0.6,6.7,3,0.3,0.6,0.1,0.1,0.7,1.5,2.5,1.7,0.9,5.3,0.5,0.3,0
12,Jordy de Wijs,171,QPR,28, D(C)  ,9,649,0,0,48.4,85.1,0,3.3,0,7.18,1,1,0,0.7,3.7,0,0.1,0.2,0,0,0.1,1,1.3,0.8,0.2,5.1,0.1,0.8,0
13,Robert Dickie,171,QPR,27, D(C)  ,43,3806,1,0.3,57.6,78.3,0.1,3.1,0,7.17,3,9,1,0.5,4.9,7,0.5,1.6,0,0.3,0.7,1.3,1.8,1,0.8,4,0.4,0.7,0
14,Sean Morrison,188,Cardiff,32, D(C)  ,37(1),3292,2,0.3,32.9,63.1,0,3,0,7.15,5,8,0,0.8,5.8,3,0.1,0.8,0.1,0.2,0.4,1.3,1.4,1.3,0.2,4,0.4,0.6,1
15,Shaun Hutchinson,192,Millwall,32, D(C)  ,39,3452,2,0.3,50,70.6,0.1,4.4,0,7.15,1,7,0,0.7,4.8,5,0.2,0.8,0,0.2,0.6,1.5,2.5,1.2,0.3,3.9,0.5,0.6,0
16,Adam Armstrong,158,Blackburn,26," AM(CLR),FW  ",40,3469,5,1,18.2,75.7,0.2,0.7,0,7.15,28,3,0,4.7,0.4,6,1.2,0.8,1,1.2,2.7,0.4,0.2,1.3,0,0,0.3,0,0
17,André Ayew,259,Swansea,33," M(CLR),FW  ",41(2),3655,4,0.8,25.9,71.3,0.1,0.5,0,7.14,16,5,0,2.3,2.9,7,1.6,1.7,0.6,1.8,2.5,0.7,0.2,0.9,0,1.5,0.6,0.1,0
18,Todd Cantwell,168,Norwich,25, AM(CLR)  ,30(3),2635,6,1.6,45.4,82.1,0.2,2.5,0.1,7.13,6,4,0,2,0.1,2,1.6,2.7,0.3,1.2,2.4,1.3,0.5,0.6,0,0.5,1.2,0,0
19,Ismaïla Sarr,27,Watford,25," AM(CLR),FW  ",39,3464,4,1.1,26,78.9,0.4,0.8,0,7.13,13,5,0,2.2,0.6,7,1.9,3,0.6,1.6,3.2,0.9,0.5,1.6,0,0.3,0.6,0,0
20,Ovie Ejaria,94,Reading,25, M(CL)  ,37(1),3162,5,1.7,37.6,85.6,0.4,0.7,0.1,7.12,3,2,0,1.2,0.8,5,2.7,2.5,0.2,2.5,2.7,1,1,0.9,0,0.5,1,0,0
21,Ben Cabango,259,Swansea,22, D(C)  ,28(2),2537,2,0.2,42.1,72.5,0.1,3,0,7.12,4,4,0,0.6,4.4,3,0,0.6,0.1,0.1,0.4,1.4,1.6,1,0.5,4.8,0.5,0.6,0
22,Steven Benda,259,Swansea,24, GK  ,1,90,0,0,39,66.7,0,3,0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
23,Lewis Wing,210,Rotherham,28, M(C)  ,18(2),1637,2,1.7,30.6,63.7,1.2,2.8,0.1,7.11,2,1,0,1.7,1.5,3,1,1.1,0,0.6,1.7,2.7,0.8,1,0.1,1.1,1.6,0.2,0
24,Dominic Solanke,183,Bournemouth,25, FW  ,38(2),3355,8,0.8,16.8,72,0.1,0.2,0,7.11,15,2,0,2.7,2.1,1,1.5,1.8,0.6,2.2,3.4,0.4,0.1,1.2,0,0.8,0.5,0.2,0
25,Nick Powell,96,Stoke,29," AM(CLR),FW  ",38(1),3126,3,1.1,32.3,62.3,0.3,1.7,0,7.10,12,5,0,1.8,3.6,1,0.4,2.9,0.3,1.1,2,1.7,1,2.3,0,0.6,0.8,0.2,0
26,Teemu Pukki,168,Norwich,33," AM(C),FW  ",39(2),3452,4,1.3,14.9,74.9,0,0.1,0,7.09,26,1,0,3.3,0.2,5,0.5,0.8,0.5,1,1.7,0.6,0.2,0.9,0,0.2,0.5,0.1,0
27,Harry Souttar,96,Stoke,24, D(C)  ,38,3417,3,0.3,52.2,71.5,0,5.9,0,7.07,1,2,1,0.7,5.4,6,0.3,0.4,0.1,0.2,0.4,1.1,1.4,0.6,0.8,5.3,0.3,0.6,0
28,Aden Flint,188,Cardiff,33, D(C)  ,22,1980,1,0.2,25.1,51.5,0,1.7,0,7.06,1,3,0,0.9,6.2,1,0,0.9,0.3,0.1,0.4,0.7,1.2,1,0.1,6.5,0.3,1.1,1
29,Dael Fry,21,Middlesbrough,25, D(CR)  ,30(2),2666,1,0.1,32.6,58.3,0,1.9,0,7.06,1,3,0,0.3,6.3,2,0.1,0.8,0.1,0,0.3,0.9,1.8,0.7,0.3,3.9,0.2,0.8,0
30,Lucas João,94,Reading,29," AM(LR),FW  ",35(4),3079,7,1,15.2,76.4,0,0.4,0,7.06,19,3,0,2.2,1.8,4,1.4,1.7,0.5,1.9,3,0.3,0.2,0.9,0,0.7,0.3,0.1,0
31,Michael Olise,94,Reading,21, AM(CLR)  ,37(7),3264,12,1.9,38.2,81.5,1.4,2.3,0.1,7.06,7,3,0,1.6,0.6,2,1.3,2.2,0.1,0.8,2,0.9,0.6,0.6,0,0.4,0.9,0.1,0
32,Matt Clarke,20,Derby,26, D(C)  ,42,3688,0,0.2,52.3,78.6,0,4.4,0,7.06,0,3,0,0.9,5.6,3,0.4,0.8,0,0.1,0.4,1.4,1.4,0.7,0.8,4.3,0.3,0.5,1
33,Joe Jacobson,196,Wycombe,36, D(CL)  ,36(1),3200,6,1.8,30,54.1,2.1,3.7,0,7.05,4,7,0,0.6,2.3,3,0.3,1.2,0,0.1,0.5,1.8,1.9,1,0.2,2.5,0.9,0.5,0
34,Ethan Pinnock,189,Brentford,29, D(C)  ,39,3434,1,0.2,66.4,84.8,0,4.1,0,7.03,1,0,1,0.8,5.1,2,0.2,0.3,0,0.2,0.2,0.9,1,0.4,0.8,5.1,0.3,0.7,0
35,Adam Masina,27,Watford,29," D(CL),M(L)  ",21(4),1927,0,0.5,40.8,72.5,0.6,3.9,0,7.03,2,4,0,0.4,2.8,2,0.3,0.5,0,0.1,1,1.6,1.5,0.8,0.1,2.7,1.1,0.3,0
36,Jake Cooper,192,Millwall,28, D(C)  ,42,3713,2,0.4,42.9,70.5,0.1,3.2,0,7.03,1,5,0,0.8,5.3,1,0.3,0.9,0.1,0.1,0.7,1.1,1.5,1.3,0.1,4.3,0.4,0.8,1
37,Barry Douglas,158,Blackburn,33," D(L),M(L)  ",29(1),2436,2,1.9,48,74.3,1.7,2.6,0,7.01,0,5,0,0.5,2.2,3,0.6,1.2,0.1,0.4,1.1,2.3,1.3,0.8,0.2,1.7,0.7,0.1,0
38,Marc Roberts,157,Birmingham,32, D(C)  ,29(7),2745,2,0.6,31.5,55.4,0.1,3.5,0,7.00,4,2,1,0.5,6.2,4,0.1,0.4,0.1,0.1,0.5,1.2,1.2,0.9,0.5,4.5,0.2,0.4,0
39,Kristian Pedersen,157,Birmingham,28," D(CL),M(L)  ",35,3090,2,0.6,29.9,63,0.3,1.6,0,7.00,2,5,1,0.6,4.4,3,1.1,0.6,0.1,0.6,1.1,1.9,2.2,1.5,0.4,3.2,0.6,0.3,1
40,Kiernan Dewsbury-Hall,95,Luton,24, M(C)  ,36(3),3230,6,1.7,43.2,76.2,1.5,3.1,0,7.00,3,3,0,1.2,1,3,1.2,0.8,0.1,1,1.9,1.6,1.2,0.7,0,0.9,0.9,0.2,0
41,Francisco Sierralta,27,Watford,26, D(C)  ,24(2),2208,0,0.1,47.5,85.5,0,2.8,0,6.99,1,9,0,0.7,3.6,1,0,0.8,0,0.2,0.5,0.9,1.2,1.3,0.5,4.8,0.4,0.5,1
42,Ryan Bennett,259,Swansea,33, D(C)  ,28,2423,0,0.1,43.2,76.4,0,2.9,0,6.98,0,8,0,0.1,3.6,1,0.1,0.3,0,0.1,0.1,1,1.9,0.8,0.6,4.2,0.5,0.9,0
43,Curtis Nelson,188,Cardiff,30, D(C)  ,44,3942,0,0.2,35.2,65.5,0,2.8,0,6.98,1,6,0,0.5,5.9,1,0,0.5,0.1,0.1,0.6,1,1.4,1,0.3,4.3,0.1,0.9,0
44,James Garner,174,Nottingham Forest,22, M(C)  ,19(1),1700,0,1.1,38.7,80.9,0.4,2.9,0,6.98,4,1,0,1.6,1.4,3,0.6,1.7,0,0.3,1,2,1.7,1.2,0.1,1.2,1.3,0.2,0
45,Grant Hall,21,Middlesbrough,31," D(C),DMC  ",18(1),1550,0,0.1,30,67.2,0,2.4,0,6.98,2,0,0,0.7,6.8,2,0.3,0.5,0.3,0.1,0.2,0.4,1.3,0.4,0.3,4.2,0.1,0.6,1
46,Morgan Gibbs-White,259,Swansea,23," AM(CLR),FW  ",4(1),320,1,1.8,30.4,75,0.8,1.6,0,6.98,1,0,0,1.6,1.6,0,1.4,0.6,0.2,1.2,3.2,0.8,0.4,0.6,0,0.2,0.4,0,0
47,Jed Wallace,192,Millwall,29," AM(CLR),FW  ",44(1),3842,5,1.9,33,74.5,1.8,2.2,0,6.97,11,3,0,1.8,0.3,6,1.8,1,0.3,1,2.6,1,0.3,0.9,0,0.2,1.2,0,0
48,Derrick Williams,158,Blackburn,30," D(CL),M(L)  ",10,887,0,0.4,64.1,85,0,5.4,0,6.97,1,0,0,0.7,3.5,0,0,0.5,0,0.2,0.8,0.8,0.9,0.5,0.2,4,0.5,1.3,0
49,Yoann Barbet,171,QPR,30, D(CL)  ,46,4140,2,0.3,55.8,78.1,0.3,7,0,6.97,2,7,0,0.8,2.8,2,0.4,0.7,0,0.1,0.6,1,2.3,0.9,0.8,4.3,0.5,0.6,2
50,Matt Grimes,259,Swansea,27," D(L),M(CL)  ",42(3),3877,3,0.8,55.6,78.9,0.6,3.6,0,6.96,2,5,0,1,1.8,2,0.6,0.8,0,0.4,0.8,2.1,1.5,1.1,0.1,1.3,1.2,0.4,1
51,Harry Wilson,188,Cardiff,26, AM(CLR)  ,33(4),2828,11,1.7,19.6,73,1.5,1.2,0.1,6.96,7,3,0,2,0.5,3,0.4,1.7,0.2,0.5,1.6,0.8,0.8,1.1,0,0.2,1.3,0,0
52,Filip Benkovic,188,Cardiff,25, D(C)  ,0(1),70,0,0,38,76.3,0,3,0,6.96,0,0,0,1,7,0,0,2,1,0,1,0,3,0,0,4,0,0,0
53,Alex Mowatt,142,Barnsley,28, M(CLR)  ,44,3842,7,1.5,43,64.3,0.9,2.4,0,6.96,8,6,1,1.8,1.6,3,0.5,1.1,0,0.6,1,1.7,0.8,0.9,0,1.3,1,0.2,0
