,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Josh Harrop,32,Man Utd,27, AM(CL)  ,1,90,0,1,41,97.6,1,0,0,8.34,1,0,0,2,0,1,1,1,0,1,3,6,0,4,0,1,2,0,0
1,Sergio Romero,32,Man Utd,36, GK  ,2,180,0,0,23,71.7,0,13,0,8.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,Demetri Mitchell,32,Man Utd,26," D(L),M(LR)  ",1,90,0,2,50,86,1,1,1,8.15,0,0,0,0,0,0,2,2,0,1,3,5,3,0,0,2,1,0,0
3,Eden Hazard,15,Chelsea,32," M(CLR),FW  ",36,3007,5,2.5,48.6,84.2,0.5,3.2,0.1,7.82,16,3,0,2.1,0.6,13,4,2.8,0.2,1.7,2.1,0.5,0.8,0.5,0,0.1,0.5,0,0
4,Alexis Sánchez,13,Arsenal,34," M(CLR),FW  ",36(2),3224,10,2.1,43.2,73.6,0.4,2,0.2,7.75,24,6,0,3.4,0.4,11,2.9,1.8,0.7,3.4,2.5,1.4,0.6,1.3,0,0.1,0.8,0,0
5,Paul Pogba,32,Man Utd,30, M(CL)  ,29(1),2610,4,1.9,72.6,85.1,0.2,5.4,0.4,7.72,5,7,0,3.1,2.8,4,2.4,2.4,0.1,1.8,2.6,1.8,1,2.1,0.1,1.4,1,0.1,0
6,Harry Kane,30,Tottenham,29," AM(C),FW  ",29(1),2536,7,1.4,19.9,71.7,0.2,0.6,0,7.71,29,3,0,3.7,1.5,7,1.3,1.5,0.6,1.7,2.8,0.7,0.1,0.8,0,0.7,0.3,0,0
7,Calum Chambers,13,Arsenal,28," D(CR),DMC  ",1,90,0,0,85,82.4,0,8,0,7.63,1,0,0,2,8,0,0,2,0,0,0,2,1,0,0,1,1,1,0
8,Philippe Coutinho,26,Liverpool,30, M(CLR)  ,28(3),2245,7,2.1,45.2,83.9,1.2,2.3,0.2,7.56,13,2,0,3.4,0.2,8,2.3,1.2,0.1,1.8,1.8,1.1,0.6,0.6,0,0.2,1.5,0,0
9,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",33(3),2885,18,2.9,50,82,2.3,2.3,0.4,7.55,6,4,0,2.4,0.4,9,1.4,1.1,0.1,1.4,1.6,1.4,0.7,1,0,0.2,1.8,0,0
