,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kylian Mbappé,304,PSG,24," AM(LR),FW  ",34(1),3032,17,2,38.3,82.2,0.6,1.2,0.1,8.04,28,10,0,4.2,0.1,12,3.2,1.5,1.1,1.6,3.2,0.3,0.1,0.8,0,0.4,0.2,0,0
1,Andy Delort,311,Montpellier,31," AM(R),FW  ",3,270,1,3,27.3,61,1.3,0.7,0,7.82,2,0,0,4.7,3.7,0,0.3,1,0,0.7,3.3,0.7,0,2,0,1.3,0.3,0,0
2,Lionel Messi,304,PSG,35," AM(CR),FW  ",24(2),2153,14,2.4,61.7,86.7,0.3,3.1,0.7,7.77,6,0,0,3.4,0.2,5,2.5,1.3,0.4,1.6,1.8,0.4,0.2,0.2,0,0,0.4,0,0
3,Neymar,304,PSG,31," AM(CLR),FW  ",22,1861,6,2.8,55.5,82.2,0.5,1.7,0.5,7.65,13,10,0,2.5,0.2,2,2.6,3.2,0.5,3,3.7,1.3,0.2,1.4,0,0.1,1.1,0,0
4,Tetê,228,Lyon,23, AM(R)  ,7(2),585,5,1.4,24.6,82.8,0.6,0.9,0.1,7.48,2,1,0,1.9,0.4,2,2.4,2,0.3,1.2,1.6,1.1,0.3,0.4,0,0.1,1.1,0,0
5,Gaëtan Laborde,311,Montpellier,29," AM(CLR),FW  ",4,342,0,1,23.3,60.2,0.3,1,0.3,7.47,3,1,0,3.5,4.3,0,0.3,0.8,0,0.8,2,0.5,1.3,0.8,0,1.3,0.5,0,0
6,Benjamin Bourigeaud,313,Rennes,29, M(CLR)  ,38,3215,12,3.2,42.1,76.9,2.7,2.7,0.1,7.44,11,2,0,1.3,0.4,4,0.2,0.2,0.1,0.5,1.1,1.2,0.8,0.7,0,1,1.1,0.1,0
7,Dimitri Payet,249,Marseille,36," M(CLR),FW  ",28(3),2597,10,3.2,45.5,81.8,2.3,2.6,0.5,7.44,12,3,0,2.2,0.1,6,0.9,1.4,0.1,1.1,1.4,0.5,0.3,0.3,0,0.1,0.8,0,0
8,Martin Terrier,313,Rennes,26," AM(CL),FW  ",37,2805,3,1.1,24.9,81.1,0.2,1,0.1,7.41,21,1,0,2.4,1.1,4,0.8,1.1,0.2,0.6,1.6,1.5,0.5,0.8,0,0.5,0.5,0.1,0
9,Téji Savanier,311,Montpellier,31, M(C)  ,28(1),2422,7,2.1,47.5,72.4,1.6,5.5,0.2,7.40,8,7,2,2.8,0.5,8,2.6,2.7,0.1,1.2,2.9,1.6,0.9,1.6,0,0.4,1.3,0,0
10,Mamadou Mbow,950,Reims,23, D(C)  ,1,90,0,0,25,76,0,3,0,7.33,0,0,0,0,1,0,1,0,0,0,0,6,1,0,0,6,0,0,0
11,Aurélien Tchouaméni,248,Monaco,23, DMC  ,33(2),2933,2,0.6,58.9,86.7,0.1,3.1,0.1,7.32,3,9,1,1.6,2.2,5,1.1,1.7,0.1,0.9,0.5,2.5,2.9,1.5,0.1,0.9,0.7,0.2,0
