,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,James Rodríguez,37,Bayern,31," AM(CLR),FW  ",19(4),1627,11,2.8,62.3,90,1.8,5,0.2,7.63,7,2,0,1.7,0.3,5,0.9,1.4,0.2,0.7,1,1.5,0.5,1,0,0.1,0.7,0,0
1,Daniel Caligiuri,39,Schalke,35," D(R),M(CLR),FW  ",32(1),2918,10,1.5,38.5,71.9,1.2,2.2,0,7.57,6,4,0,1.1,0.8,7,1.7,1.3,0,1.1,1.1,3,2,1.2,0.1,1.6,1.4,0.1,0
2,Robert Lewandowski,37,Bayern,34, FW  ,24(6),2169,2,0.7,19.8,79.5,0,0.5,0,7.49,29,1,0,4.2,1.8,2,0.6,1.2,0.8,1,1.4,0.2,0.2,1.2,0,0.3,0.1,0,0
3,Arturo Vidal,37,Bayern,35, M(CR)  ,17(5),1461,2,1.2,52.8,88.5,0,4.4,0,7.49,6,6,0,2.2,1.8,5,0.4,0.8,0.2,0.4,0.9,3.1,1.3,2,0,0.6,1.6,0,0
4,Niklas Dorsch,37,Bayern,25, DMC  ,1,90,0,1,39,79.5,0,1,0,7.45,1,0,0,1,0,0,1,0,0,1,2,1,1,2,0,0,2,0,0
5,Ignacio Camacho,33,Wolfsburg,33," D(C),M(C)  ",11,953,0,0.4,47.8,76,0,3.5,0.1,7.42,0,1,0,0.5,5.1,1,0.2,2,0.1,0.8,0.8,2.5,3.7,1.3,0.7,3.6,1.3,0.5,0
6,Naldo,39,Schalke,40, D(C)  ,34,3060,2,0.4,49.9,85.7,0,3.6,0,7.42,7,4,0,1.4,4.9,6,0.3,0.5,0,0,0.3,1.5,1.6,1,0.6,5.7,0.4,0.6,0
7,Serge Gnabry,1211,Hoffenheim,27," AM(CLR),FW  ",20(2),1507,5,1.2,22,77.4,0.3,0.5,0.2,7.41,10,0,0,2.2,0.3,2,2,0.7,0.5,1,1.1,1.5,0.4,0.9,0,0.2,0.5,0,0
8,Alexander Hack,219,Mainz,29, D(C)  ,14(1),1288,0,0.3,43.3,76.6,0.1,3.9,0,7.41,1,2,0,0.8,4.8,1,0.3,1.3,0.1,0.1,0.4,3.1,1.7,0.7,0.2,5.5,0.9,1.2,0
9,Marco Reus,44,Borussia Dortmund,33," M(CLR),FW  ",11,935,0,1.6,31.6,80.2,1.1,0.8,0.1,7.39,7,1,0,2.8,0.3,2,1.2,1.8,0.5,0.9,1.5,1.5,0.4,1.2,0.1,0.7,0.6,0.3,0
10,Thiago Alcântara,37,Bayern,32, M(C)  ,12(7),1243,2,1.5,67.7,91.5,0.1,5.8,0,7.36,2,3,0,1.3,1.2,2,1.3,0.7,0.1,0.8,0.6,2.4,1.4,1.3,0,0.3,0.6,0.2,0
11,Salif Sané,110,Hannover,32," D(C),DMC  ",32,2880,1,0.3,56,81,0,4.2,0,7.34,4,6,0,0.9,5.7,5,0.5,1.1,0,0.4,0.8,1.8,1.8,1.1,0.8,7.3,0.8,0.9,0
12,Leon Bailey,36,Leverkusen,25," M(CLR),FW  ",25(5),2223,6,2,28.2,75,2.3,1.6,0,7.32,9,2,0,2.5,0.9,4,1.9,1,0.2,1.4,1.4,0.5,0.5,0.9,0,0.2,0.2,0,0
13,Arjen Robben,37,Bayern,39," M(CLR),FW  ",19(2),1518,5,1.6,36.4,85,1,1.5,0,7.31,5,0,0,2.4,0.8,2,1.2,1.2,0.4,0.7,1.3,0.7,0.2,0.5,0,0.1,0.4,0,0
14,Thomas Müller,37,Bayern,33," M(CLR),FW  ",22(7),1966,14,2,32,76.9,0.9,1.1,0,7.28,8,4,0,1.5,1.2,1,0.4,0.5,0.3,0.5,1.4,1.2,0.2,0.7,0,0.4,0.5,0,0
15,Mats Hummels,37,Bayern,34, D(C)  ,25(1),2213,1,0.3,77.7,87.3,0.1,5.8,0,7.27,1,3,0,1,2.8,1,0.5,0.2,0,0.2,0.4,2.4,2.1,0.7,0.4,2.2,0.6,0.5,0
16,Pierre-Emerick Aubameyang,44,Borussia Dortmund,33," M(CLR),FW  ",16,1417,3,1,19.7,76.5,0.3,0.2,0,7.25,13,0,1,3.6,1.6,2,0.3,0.5,0.9,0.8,1.6,0.3,0.2,1.1,0,0.1,0.4,0.1,0
17,Naby Keïta,7614,RBL,28, M(C)  ,23(4),1962,5,1.4,44.8,81.4,0.3,1.2,0.3,7.24,6,7,2,1.6,0.6,4,2.5,2.2,0,2.1,1.4,2.4,1.3,1.9,0,0.6,1,0.1,0
18,Lars Stindl,134,Borussia M.Gladbach,34," M(CLR),FW  ",31,2731,3,1.7,51.1,82.7,0.3,2,0.1,7.23,6,5,0,2.3,1.9,2,0.7,2.1,0.3,2.1,1.5,1.7,1,2,0,0.9,0.8,0.1,0
19,Joshua Kimmich,37,Bayern,28," D(CR),DMC,M(R)  ",26(3),2334,10,1.8,61.8,90.3,2.1,5.1,0,7.23,1,1,0,0.3,0.8,1,0.7,1.8,0.1,0.2,0.7,1.1,0.7,0.6,0.3,1.1,0.6,0.2,0
20,Sandro Wagner,1211,Hoffenheim,35, FW  ,10(1),872,2,1.6,24,68.6,0,0.5,0.1,7.21,4,3,0,2.4,4.5,2,0.2,2.4,0.2,1.9,1.6,0.7,0.3,2.5,0.2,1.2,0.1,0.3,0
21,Benjamin Hübner,1211,Hoffenheim,33, D(C)  ,27,2319,2,0.4,53.8,83.7,0.1,3.1,0,7.20,3,9,0,0.9,3.2,4,0.2,1,0,0.1,0.4,2.6,1.9,1.7,0.5,3.7,0.6,0.7,0
22,Kingsley Coman,37,Bayern,26," M(LR),FW  ",10(11),1149,3,1,26,85.9,0.5,0.8,0,7.20,3,0,0,1.4,0.7,2,2.6,1,0.1,0.9,1.4,0.5,0.3,0.3,0,0,0.2,0,0
23,Lars Bender,36,Leverkusen,34," D(CR),M(CR)  ",20(1),1603,4,0.9,39.6,78.6,0.3,1.8,0,7.20,2,5,0,1,1.8,1,0.4,1.1,0,0.4,0.6,3,1.3,0.5,0,1.7,0.9,0.3,0
24,Lukasz Piszczek,44,Borussia Dortmund,37," D(CR),M(R)  ",24,2140,3,0.7,54.5,81.3,0.5,1.7,0,7.19,0,3,0,0.8,2.7,0,0.7,1,0.1,0.6,0.7,2.1,1.8,0.9,0.3,2.5,0.9,0.5,0
25,Marc Bartra,44,Borussia Dortmund,32," D(CR),DMC  ",9(3),806,1,0.4,54.5,79.5,0.2,2.3,0,7.16,2,1,0,0.4,3.1,1,0.4,0.8,0.1,0.4,0.6,2.3,2.3,0.8,1.1,3.1,0.8,0.2,0
26,Mario Gomez,41,Stuttgart,37, FW  ,16,1389,1,0.9,21.8,63,0.2,0.4,0,7.15,8,3,0,2.1,3.8,5,0.5,1.6,0.4,1.4,2.3,0.8,0.3,1.6,0,1,0.5,0,0
27,Caiuby,1730,Augsburg,34," AM(CL),FW  ",32(1),2859,7,1,30,66.7,0.6,1.4,0,7.15,5,8,0,2.3,5,6,1.2,1.5,0.2,1.5,1.9,1.6,0.5,2.1,0,1,0.8,0,0
28,Jérôme Boateng,37,Bayern,34, D(CR)  ,19,1644,2,0.7,74.3,86.9,0.3,8.6,0.1,7.14,1,4,0,0.7,1.7,1,0.1,0.4,0,0.1,0.2,1.4,1.1,0.7,0.4,2.6,0.7,0.6,0
