,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Cristiano Ronaldo,87,Juventus,38," M(L),FW  ",33,2919,5,1.5,36.5,85.1,0.2,0.9,0,7.82,31,3,0,6.3,1.2,10,1.6,1.8,0.9,1,2.2,0.4,0.2,0.8,0,0.6,0.5,0.1,0
1,Josip Ilicic,300,Atalanta,35," AM(CLR),FW  ",21(5),1673,5,2.1,34.6,81.9,0.7,1.8,0.3,7.65,15,1,1,3.1,0.1,7,2.3,2.3,0.1,1.8,2,1,0.3,0.4,0,0.2,0.8,0,0
2,Ciro Immobile,77,Lazio,33, FW  ,36(1),3176,9,1.6,23.9,77,0,0.9,0.1,7.57,36,8,0,3.8,0.6,10,0.6,1,0.6,0.8,2.6,0.2,0.3,1,0,0.2,0.6,0.1,0
3,Luis Alberto,77,Lazio,30," AM(CL),FW  ",36,3122,15,2.9,57.6,83.5,1.2,3.1,0.4,7.55,6,5,0,2.7,0.3,10,2,1.1,0,1.3,1.4,1.4,0.6,0.6,0,0.2,1.5,0,0
4,Papu Gómez,300,Atalanta,35," M(CLR),FW  ",34(2),2861,16,2.8,47.8,85.3,1.8,2.1,0.1,7.55,7,2,0,2.6,0.1,3,1.8,2.1,0.1,1.1,1.6,0.8,0.5,0.5,0,0.1,0.9,0,0
5,Gianluca Pegolo,2889,Sassuolo,42, GK  ,5,450,0,0,26.8,80.6,0,3.6,0,7.54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.8,0,0,0
6,Zlatan Ibrahimovic,80,AC Milan,41, FW  ,16(2),1365,5,1.4,32.8,70.9,0.2,1.1,0.1,7.51,10,1,0,3.7,4.4,4,0.7,0.9,1.1,0.9,2,0.3,0.3,1.7,0,1.2,0.7,0.2,0
7,Edin Dzeko,84,Roma,37, FW  ,31(4),2884,7,1.5,22,69.9,0.1,1.5,0.1,7.48,16,4,0,3.5,3.7,5,1,1.4,0.5,1.1,2.4,0.5,0.2,1.1,0,0.9,0.3,0.1,0
8,Domenico Berardi,2889,Sassuolo,28," AM(R),FW  ",29(2),2505,10,1.9,35.1,78.4,0.6,1.5,0.3,7.45,14,6,1,3.9,0.6,5,1.3,2.1,0.2,1,2.1,1,1.1,1.8,0,0.8,1.5,0.1,0
9,Paulo Dybala,87,Juventus,29," AM(CR),FW  ",25(8),2165,6,2.1,42.2,88.1,0.8,2.2,0.1,7.44,11,5,0,3,0.1,3,2,1.6,0.2,1.2,1.8,0.6,0.4,0.7,0,0,0.9,0,0
10,Duván Zapata,300,Atalanta,32, FW  ,25(3),2038,6,1.4,19.6,79.6,0.3,0.4,0,7.41,18,1,0,3.2,1.9,4,0.8,1.6,0.4,2.2,3.4,0.3,0.1,1.3,0,0.3,0.2,0.3,0
11,Kevin Bonifazi,72,Torino,26, D(C)  ,3,248,0,0.3,32.3,82.5,0,1.7,0,7.35,1,0,0,1,2,0,0.3,0.3,0,0.3,0.3,3,1.7,1.3,0,3.3,0.3,0.7,0
12,Romelu Lukaku,75,Inter,29," AM(R),FW  ",33(3),2984,2,1.5,21.5,70.7,0.2,0.7,0,7.30,23,2,0,2.8,2.6,4,0.6,0.6,0.6,1.9,1.9,0.4,0,1.3,0,0.8,0.2,0.2,0
13,Demba Thiam,1502,SPAL 2013,25, Goalkeeper  ,2,180,0,0,29.5,74.6,0,4.5,0,7.30,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
