,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Nick Marsman,256,Feyenoord,32, GK  ,2,180,0,0,21,83.3,0,5,0,8.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0
1,Hakim Ziyech,130,Ajax,30, M(CLR)  ,21,1619,12,3.7,53,77.4,2.3,3.9,0.4,8.19,6,1,0,4.2,0.1,4,2.6,1.1,0.3,1.8,2.3,1.8,0.5,0.8,0,0,1.1,0,0
2,Zakaria Labyad,130,Ajax,30," AM(CLR),FW  ",2,149,1,2.5,29.5,84.7,0,1,0,8.05,1,0,0,2,1,0,1,0.5,1,1,1.5,3.5,0.5,1.5,0,0,0,0,0
3,Steven Berghuis,256,Feyenoord,31," AM(CR),FW  ",24,2109,7,2.6,49.5,80.6,2,3.2,0.1,7.80,15,1,0,3.7,0.2,6,1.4,1,0.1,1.2,1.5,1.4,0.2,0.3,0,0.1,0.9,0,0
4,Dusan Tadic,130,Ajax,34," AM(CLR),FW  ",25,2172,14,3.6,38,77,1.1,1,0.2,7.72,11,1,0,2.5,0.4,3,1.2,0.8,0.4,2.5,2.3,0.7,0.3,0.7,0,0.4,0.8,0.1,0
5,Oussama Idrissi,243,AZ Alkmaar,27, AM(LR)  ,25,1980,3,1.8,42.4,83,0.3,3.6,0,7.70,13,3,0,2.7,0.2,5,3.4,1.1,0.6,1.4,2.6,1.2,0.1,1.2,0.1,0,1.6,0,0
6,Luis Sinisterra,256,Feyenoord,23," AM(LR),FW  ",21,1627,4,1.3,31.8,82.8,0.1,1.1,0.1,7.60,5,2,0,1.7,2.1,5,3,1.4,0.4,2,2.4,1.9,0.7,1,0,1.1,1,0.1,0
7,Donyell Malen,129,PSV Eindhoven,24," AM(LR),FW  ",14,1191,2,1.6,27.6,78,0.1,0.4,0.1,7.59,11,1,0,4.2,1.3,2,1.2,1.1,0.5,1.6,2.9,0.3,0.1,0.6,0,0.5,0.4,0.1,0
8,Fredrik Midtsjø,243,AZ Alkmaar,29, M(CR)  ,22(1),1926,4,1.9,59,84.2,0.6,3.2,0,7.56,0,2,0,0.8,0.4,4,3.1,1.4,0,1.2,1.2,1.6,2.1,1,0,0.7,1.7,0.3,0
9,Steven Bergwijn,129,PSV Eindhoven,25," AM(CLR),FW  ",16,1336,10,2.8,39.1,87.7,0.3,0.6,0.1,7.52,5,4,0,2.3,0.3,3,2.5,1.4,0.1,1.9,3.8,0.5,0.3,0.7,0,0.3,0.4,0.1,0
10,Quincy Promes,130,Ajax,31," M(CLR),FW  ",18(2),1500,4,2.2,41.6,86.9,1.3,0.4,0.1,7.52,12,3,0,2.8,0.9,2,1,0.4,0.4,1.8,1.7,0.6,0.5,0.5,0,0.2,0.7,0.1,0
11,Gyrano Kerk,128,FC Utrecht,27," AM(LR),FW  ",24,2070,7,1.4,19.8,67.9,0.7,0.2,0,7.45,10,1,0,2.1,0.5,4,3,1.2,0.4,2.6,3.2,1.2,0.3,0.9,0,0.2,0.8,0,0
12,Teun Koopmeiners,243,AZ Alkmaar,25," D(C),M(C)  ",25,2217,2,1.1,82.1,87.2,0.4,5.8,0,7.43,11,4,0,1.4,1,3,1.2,0.8,0,1,1,2.1,1,1.1,0.2,2.1,1.5,0.2,1
13,Joël Veltman,130,Ajax,31," D(CR),M(R)  ",19,1651,0,0.5,74.9,88.9,0.2,2.6,0,7.43,0,1,0,0.8,3.7,0,0.5,1,0,0.2,0.4,3.2,1.2,0.9,0.4,3.3,0.7,0.3,0
14,Lisandro Martínez,130,Ajax,25," D(CL),DMC  ",24,2033,1,0.6,68.7,88.8,0.2,3.8,0.2,7.41,2,3,0,1.9,2.5,2,1.3,0.8,0.1,1.2,1.3,1.9,1.7,1.2,0.2,1.7,1.5,0.5,0
15,Donny van de Beek,130,Ajax,26, M(C)  ,22(1),1916,5,1.8,39.5,82.2,0.3,0.7,0,7.41,8,3,0,1.9,0.7,4,1,0.7,0.2,1,1.4,2,0.7,0.6,0,0.5,0.6,0.2,0
