,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Alex Telles,297,Porto,30," D(CL),M(L)  ",30,2642,13,3.2,39,83.3,3.8,2,0,7.98,3,2,0,0.9,1.7,7,0.8,0.6,0.1,0.4,0.7,2,2,1,0.1,2.3,0.7,0.2,0
1,Jonas,299,Benfica,39," AM(CLR),FW  ",29(1),2473,6,1.5,30.6,77.9,0.1,1.6,0,7.91,34,2,0,4.4,1.6,11,0.7,1.7,0.6,1.4,2.5,0.9,0.1,1.3,0,0.3,0.3,0,0
2,Yacine Brahimi,297,Porto,33, M(CLR)  ,32(1),2768,7,1.5,38.1,79.5,0,1.4,0.2,7.76,9,2,0,1.9,0.2,5,5.1,2.8,0,2.7,2.6,1.1,0.7,0.5,0,0,0.7,0,0
3,Moussa Marega,297,Porto,32," AM(LR),FW  ",27(2),2410,4,0.8,15.4,67.3,0.1,0.1,0,7.69,22,1,0,3.3,1.2,4,1.4,1.8,0.8,1.7,2.7,0.5,0.3,1.4,0,0.9,0.4,0.1,0
4,Bas Dost,296,Sporting,33, FW  ,29(1),2591,3,1,18.6,64.6,0,0.3,0,7.61,27,2,0,2.2,4.7,7,0.1,0.9,0.6,0.2,1,0.2,0.2,0.6,0,1,0.4,0,0
5,Ricardo Pereira,297,Porto,29," D(LR),M(R)  ",26(1),2271,4,1.3,45.2,80.3,0.6,2.3,0.1,7.59,2,3,0,0.7,1,3,1.8,1,0,0.8,1.2,3.7,1.7,1.7,0.1,1.6,0.7,0.1,0
6,Léo Navacchio,1463,Portimonense,30, GK  ,3,270,0,0,26.7,41.3,0,7.7,0,7.57,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0,5,0,0,0
7,Bruno Fernandes,296,Sporting,28, M(CLR)  ,32(1),2806,8,2.2,46.6,75,1.5,3,0.2,7.55,11,6,0,2.8,0.7,6,1.3,2.1,0.4,1.8,1.7,1.9,0.9,1.2,0,0.6,1.1,0,0
8,Héctor Herrera,297,Porto,33, M(C)  ,26(3),2335,4,1.4,54.2,84.7,0.3,3.2,0.1,7.50,3,7,0,1.3,2.2,1,1.1,1.4,0.2,0.8,1.2,2.8,1.6,2.4,0,0.8,1.1,0.2,0
9,Sérgio Oliveira,297,Porto,30, DMC  ,15(4),1339,2,1.5,39.9,81.9,1,2.7,0.1,7.48,4,4,0,1.5,1.2,0,1.3,1.2,0,0.5,0.5,3.1,1.5,2.4,0,0.5,0.7,0.1,0
