,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Lionel Messi,65,Barcelona,35," AM(CR),FW  ",29(5),2710,13,2.7,53.8,81.3,0.4,3.4,0.9,8.48,36,3,0,5,0.2,17,3.9,1.9,0.5,2.3,1.9,0.4,0.1,0.6,0,0,0.5,0,0
1,Álex Sola,68,Real Sociedad,23, D(R)  ,1,90,0,1,52,80.8,1,1,0,8.03,0,0,0,2,0,0,4,2,0,2,2,4,1,1,0,2,1,0,0
2,Luis Suárez,65,Barcelona,36," AM(CLR),FW  ",31(2),2830,6,1.4,29,75.3,0.2,1.5,0.1,7.57,21,5,0,3.4,0.7,5,1.1,1.7,0.8,1.6,2.3,0.5,0.2,0.9,0,0.7,0.2,0.1,0
3,Iago Aspas,62,Celta Vigo,35," AM(CR),FW  ",26(1),2262,6,2.1,32.1,82,0.2,1.4,0.2,7.51,20,5,0,2.6,0.9,6,0.7,1.6,0.3,1.3,1.1,0.6,0.6,0.6,0,0.2,0.6,0,0
4,Daniel Parejo,55,Valencia,34, M(C)  ,35(1),3063,7,2.3,61.5,85.8,1.9,5.6,0.1,7.40,9,6,1,1.2,0.9,9,1,1.5,0,0.6,0.9,2,1.3,0.8,0,0.6,1.6,0.2,0
5,Karim Benzema,52,Real Madrid,35, FW  ,35(1),2964,6,1.3,32.9,82.6,0.1,1.1,0.1,7.38,21,1,0,2.9,1.2,7,1.3,0.6,1,1.3,1.7,0.7,0.2,0.6,0,0.7,0.4,0,0
6,Carlos Isaac,63,Atletico,25, D(R)  ,1,90,0,1,41,85.4,0,0,0,7.35,0,0,0,1,1,0,2,1,0,1,3,0,1,0,0,0,2,0,0
7,Antoine Griezmann,63,Atletico,32," AM(CLR),FW  ",37,3204,9,2,37.5,78.3,0.6,1.3,0.1,7.29,15,5,0,3.1,1.1,4,0.5,0.9,0.3,1.3,1.5,0.8,0.3,0.5,0,0.6,0.5,0,0
8,Ousmane Dembélé,65,Barcelona,25," AM(CLR),FW  ",20(9),1673,5,1.6,31.4,80.7,0.8,1,0.1,7.25,8,1,0,1.3,0.3,3,2.3,0.8,0.3,1.5,1.3,0.8,0.2,0.8,0,0.1,0.4,0,0
9,Rodri,63,Atletico,26," D(C),DMC  ",32(2),2743,1,0.5,56.7,91.1,0,3.4,0,7.24,3,5,0,0.8,2.3,3,0.6,1.3,0,0.9,0.6,3,1.2,1.7,0,2,1.1,0.3,0
10,Wissam Ben Yedder,67,Sevilla,32," AM(C),FW  ",31(4),2821,9,1.3,21.6,73.9,0.1,0.5,0.1,7.23,18,4,0,2.2,1.1,3,1.3,0.7,0.9,1.1,1.9,0.5,0.3,0.7,0,0.1,0.3,0,0
11,Gorka Iraizoz,2783,Girona,42, GK  ,6(1),558,0,0,26.7,60.4,0,8,0,7.21,0,0,0,0,0.4,1,0.1,0,0,0,0,0.1,0.1,0,0,1.4,0,0,0
12,Guillermo Maripán,60,Deportivo Alaves,29, D(C)  ,22(1),2009,2,0.1,30.8,75.3,0,3.7,0,7.20,2,5,0,0.7,4.2,2,0.1,0.4,0,0,0.2,2,1.7,0.7,0.9,5.7,0.5,0.8,0
13,Gerard Piqué,65,Barcelona,36, D(C)  ,35,3150,2,0.2,68.3,91.4,0,4.3,0,7.18,4,6,0,0.5,3.4,0,0.3,0.6,0.1,0.3,0.5,1.2,1,0.7,0.4,4.2,0.4,0.8,0
14,Jaume Doménech,55,Valencia,32, GK  ,4,360,0,0,18.3,56.2,0,7.5,0,7.18,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0,0
15,Saúl Ñíguez,63,Atletico,28," D(CL),M(CLR)  ",32(1),2925,1,0.5,44.9,78.8,0.1,1.5,0.1,7.17,4,10,0,1.6,2.9,4,1,0.8,0.2,1,1.4,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1
16,Raúl García,53,Athletic Bilbao,36," M(CLR),FW  ",27(6),2379,3,0.8,27,55.7,0.1,0.8,0.1,7.17,9,13,0,2.5,5.8,6,0.4,1.8,0.3,0.9,1.5,1.8,0.6,3,0,1.1,1.4,0,0
17,Pablo Sarabia,67,Sevilla,30," D(L),M(CLR),FW  ",30(3),2730,13,2.1,36.6,79.6,1.3,1.2,0.1,7.16,12,9,0,2.3,0.3,5,0.8,1.5,0.5,1.1,1.9,0.9,0.7,1.4,0.1,0.5,1.2,0.1,0
18,Casemiro,52,Real Madrid,31, DMC  ,27(2),2316,0,0.5,55.8,88,0.1,4.9,0,7.15,3,5,1,1.4,3,4,0.6,1.7,0,0.6,0.5,3,1.4,1.6,0.2,1.8,1.9,0.4,0
19,Joan Jordán,824,Eibar,28, M(C)  ,32(4),2879,4,1.9,46.8,83.4,1.8,4.8,0,7.14,4,10,0,1.6,1.4,4,1.3,1,0.1,0.9,1.3,1.8,0.9,1.6,0,0.5,1.4,0.1,0
20,José Giménez,63,Atletico,28, D(CR)  ,19(2),1772,0,0.1,34.2,80.5,0,4.1,0,7.13,0,5,0,0.7,2.7,0,0.3,0.9,0,0.1,0.4,1.2,2.1,0.4,0.2,6,0.6,0.7,0
